"tau","beta1","beta3","beta.sd","omega","rho","FOI.0","I.0","seed","country","LogLik","seLogLik"
-1.5168035293907,-11.4242799330959,-10.140155006821,-15.9338092169558,1.2290863114296,Inf,0,0,384631939,"Australia",-571.206531561324,2.59326666110038e-08
-1.52991665959101,-11.4695203381457,-10.1417983588396,-7.85001802139852,1.23921986898929,Inf,0,0,1043790529,"Australia",-571.696321813419,0.00012543462343713
-1.5209420450562,-11.4582660783932,-10.1352861502547,-10.6534327154498,1.24669173282411,Inf,0,0,111257506,"Australia",-572.321114811142,5.49471805579569e-06
-1.50857045996569,-11.4292233951535,-10.1436687714668,-14.5497877487864,1.24345065382806,Inf,0,0,256130571,"Australia",-570.868587347775,1.12671029735902e-07
-1.53328424188466,-11.4714104053157,-10.1414819909381,-4.71445094533088,1.27392786564324,Inf,0,0,583581711,"Australia",-572.295588480061,0.00208449765144654
-1.49513789559691,-11.4545119183161,-10.1461558075884,-6.0040093099538,1.24578934326033,Inf,0,0,742821978,"Australia",-570.711358051211,0.000739133967492199
-1.55605706650485,-11.4702805098413,-10.130605949356,-11.1485165274838,1.23799988884355,Inf,0,0,431728184,"Australia",-573.662251803432,5.5646005764546e-06
-1.53134580872063,-11.4584439717203,-10.1410453812245,-4.71137413979863,1.23739232338893,Inf,0,0,517253366,"Australia",-571.655129377385,0.00341027922765261
-1.54832551963955,-11.4224388065065,-10.1378629808803,-3.21538958812344,1.23751730928941,Inf,0,0,1057484392,"Australia",-571.632327977858,0.00827986154256909
-1.50312151536715,-11.4867511348633,-10.1427613704098,-10.130349880048,1.22642426956898,Inf,0,0,1032982661,"Australia",-571.329893885828,1.19861887794232e-05
-1.49020083342853,-11.4447993797905,-10.1431972652896,-9.81713078184567,1.24411187775019,Inf,0,0,399570073,"Australia",-570.893398553697,1.94790107514088e-05
-1.5351055822063,-11.4658211886398,-10.1412751162276,-7.87625151841783,1.23662282051973,Inf,0,0,860627895,"Australia",-571.780795830594,9.82866313345676e-05
-1.51546407309127,-11.4654004886933,-10.1466063053502,-26.4191674669448,1.23741062775026,Inf,0,0,482836529,"Australia",-570.894591740558,1.36302569291577e-12
-1.48996580531589,-11.4906159071738,-10.1489456585991,-9.47575908413801,1.23374995841314,Inf,0,0,806616233,"Australia",-570.633451631206,2.73595228553148e-05
-1.61890285950648,-11.4085831557871,-10.1439229240302,-2.40028552271821,1.25829189353766,Inf,0,0,767155104,"Australia",-571.022896413322,0.0287876169232291
-1.48463856773075,-11.433833126358,-10.1381510056065,-15.2906873589843,1.23202402545607,Inf,0,0,645034070,"Australia",-571.252958569159,5.09132203351811e-08
-1.50860728928028,-11.4928431307618,-10.1377795494411,-22.2915306865736,1.23197638152458,Inf,0,0,339761295,"Australia",-572.104149678979,6.05757643800216e-11
-1.49519447145358,-11.4660013773435,-10.1491830183822,-12.6212859620466,1.23524341877524,Inf,0,0,958244798,"Australia",-570.409995112773,9.06030459347012e-07
-1.53172619604293,-11.4619265482181,-10.1359875995274,-5.22639263329894,1.25969704885189,Inf,0,0,652852817,"Australia",-572.60428668282,0.00110423358256583
-1.562389596539,-11.4494582306427,-10.1457075669418,-2.58819124564053,1.28060175505628,Inf,0,0,384689601,"Australia",-571.098381994003,0.0202683625241985
-1.57496647339977,-11.4341972428977,-10.1372003620973,-2.6357587579263,1.25422475556803,Inf,0,0,669749928,"Australia",-571.786036870037,0.0321448137033065
-1.48688178128046,-11.4474147077226,-10.1422799485543,-9.93474238625143,1.24226408669351,Inf,0,0,246863893,"Australia",-570.980391676091,1.82341937922784e-05
-1.53629189032824,-11.4540176698642,-10.133585214088,-13.7539323138417,1.22761801814812,Inf,0,0,273522905,"Australia",-572.575819810571,4.52764277287404e-07
-1.56930208249847,-11.4216259960621,-10.1342373011719,-2.4856915321488,1.2528855223645,Inf,0,0,370812067,"Australia",-571.718657382298,0.0285086246911488
-1.52186193825365,-11.4803779946826,-10.1463729566596,-9.78003408386957,1.24567352712801,Inf,0,0,576741867,"Australia",-571.245125937032,3.66187249559326e-05
-1.50104166358565,-11.4555783105503,-10.143665257226,-12.6307406510764,1.24048333475197,Inf,0,0,697886585,"Australia",-570.989668788517,1.33325554480557e-06
-1.52855252469796,-11.4552011425203,-10.1394434717252,-12.8619970933825,1.27912224473672,Inf,0,0,21967565,"Australia",-572.405164562209,8.86688371342138e-07
-1.51203415160139,-11.4721435761829,-10.1382952216809,-9.94013169134996,1.2251577266464,Inf,0,0,795605592,"Australia",-571.793045736115,1.83793798826178e-05
-1.531387698122,-11.460313835806,-10.137621354835,-11.7311540331563,1.2358949669392,Inf,0,0,323304892,"Australia",-572.097575258863,2.85320470132303e-06
-1.50590653326355,-11.4428700145541,-10.1395429169954,-5.24922817838436,1.25913456095252,Inf,0,0,480861665,"Australia",-571.605450203997,0.00123317923469248
-1.51913080396034,-11.4733173626124,-10.1440874006855,-7.63981664207303,1.23552458824089,Inf,0,0,904089339,"Australia",-571.282261464398,0.00015976266037585
-1.59315007744055,-11.4818724437485,-10.1393361393514,-2.45520076763223,1.24273333964084,Inf,0,0,564853837,"Australia",-571.974733999586,0.0196735933659472
-1.50337282670501,-11.4605095471829,-10.1441686091661,-7.2938408185169,1.2516272189108,Inf,0,0,527530290,"Australia",-571.122841153178,0.000157839881579501
-1.50885353153597,-11.4666147308141,-10.1398883530308,-23.3671969149408,1.24938391800587,Inf,0,0,438214438,"Australia",-571.711310772371,3.12161517386651e-11
-1.49334233034493,-11.4690179826517,-10.1413637440183,-10.4206381894022,1.24536904265271,Inf,0,0,719088032,"Australia",-571.369061524084,1.35020413121252e-05
-1.52403634304139,-11.4449105660203,-10.1439952390471,-11.0035385511621,1.2568195864408,Inf,0,0,44779543,"Australia",-571.318425392989,6.31767312975337e-06
-1.49944527121705,-11.4488790858015,-10.1420412237313,-10.9273658100824,1.22876512617996,Inf,0,0,396676117,"Australia",-571.008466899566,3.80216290769717e-06
-1.61070150560368,-11.4285075030332,-10.1391460109424,-2.52918850990125,1.26666780448722,Inf,0,0,333259729,"Australia",-572.004189420208,0.0241734080517883
-1.56206737833198,-11.4820325163379,-10.142395029206,-9.89307458057453,1.26164735044097,Inf,0,0,744220510,"Australia",-572.72463664808,1.61251936135388e-05
-1.54323570103159,-11.4571321445218,-10.1395240516626,-15.008415834184,1.25549459579609,Inf,0,0,125165171,"Australia",-572.264313970983,1.03014681096394e-07
-1.48669020243274,-11.4483753876232,-10.1411848626805,-9.93061083682834,1.23738450781381,Inf,0,0,316841586,"Australia",-571.070645457502,1.32735292797048e-05
-1.5296408716685,-11.4797832847608,-10.1378150065982,-16.5679042340514,1.24762521140838,Inf,0,0,239181408,"Australia",-572.385834400523,2.6158557325968e-08
-1.5053410728452,-11.437962577071,-10.1432912486153,-6.32697033668437,1.2372331832921,Inf,0,0,890160432,"Australia",-570.888464440938,0.00055018883799999
-1.51524421699736,-11.4581014936677,-10.1428257723104,-6.47559138029865,1.25335550266541,Inf,0,0,450997488,"Australia",-571.406056135435,0.000552160778895031
-1.50989686019418,-11.4754675149565,-10.1442482404049,-15.786461289719,1.23402495952002,Inf,0,0,599596209,"Australia",-571.160399763908,3.84622371234194e-08
-1.49744090839036,-11.4377890684166,-10.1428346353693,-13.1199547245823,1.24084665096335,Inf,0,0,249870386,"Australia",-570.897930756376,3.2865560785416e-07
-1.52312914480395,-11.5284530810807,-10.1482363410714,-20.171055312874,1.24576609063278,Inf,0,0,307535683,"Australia",-571.667878599157,5.78111343246075e-10
-1.58733925461292,-11.473698149428,-10.1280152704561,-7.95827529825507,1.2431770873983,Inf,0,0,368144313,"Australia",-575.003507954272,0.000141629206926093
-1.5014633036033,-11.4681640368672,-10.1404224959327,-5.05786749213463,1.23639780892276,Inf,0,0,614433220,"Australia",-571.448073136785,0.00272576134676419
-1.50179413433505,-11.4610677914459,-10.141840927005,-9.30514141830128,1.23653661697973,Inf,0,0,333200731,"Australia",-571.222135348854,3.01046633160357e-05
-1.48021543106874,-11.464611133768,-10.1471369127385,-13.2854897179309,1.22395250532477,Inf,0,0,427185198,"Australia",-570.444409893903,5.69985646142819e-07
-1.52644232020212,-11.4306222049819,-10.1354689253242,-7.55253244159158,1.24658434581169,Inf,0,0,645703536,"Australia",-572.104759510833,0.000159526743909523
-1.51226838859569,-11.4541635123688,-10.141529239034,-11.7989636736483,1.23066336411605,Inf,0,0,413918320,"Australia",-571.257308471231,2.1033830346178e-06
-1.48915484776658,-11.4550472754123,-10.1378236015599,-9.57395976231083,1.21995653619544,Inf,0,0,147950679,"Australia",-571.443926888661,1.97942697983444e-05
-1.4826202464899,-11.4580014541382,-10.1422148096959,-7.80870261211121,1.22107212910322,Inf,0,0,279234079,"Australia",-570.919712093068,9.84059371373321e-05
-1.55723198479542,-11.4831715261072,-10.1360907241885,-3.05609279112618,1.22989976407388,Inf,0,0,765448303,"Australia",-572.512843908235,0.0130232313825489
-1.51816766156919,-11.4666813697306,-10.1401923378224,-4.54426912229845,1.25432741863592,Inf,0,0,22993386,"Australia",-571.830130768296,0.00315334055917673
-1.49931419562731,-11.4859128692929,-10.1435548809947,-17.0187402913001,1.23347452808157,Inf,0,0,7005770,"Australia",-571.240986964029,9.12443187627679e-09
-1.5022475037639,-11.4846202418014,-10.1503472017272,-11.9180886793802,1.23039381870202,Inf,0,0,106082816,"Australia",-570.505795221346,3.14827714667524e-06
-1.51936000742797,-11.4640929892277,-10.1477403489626,-15.4223290778514,1.2485621021155,Inf,0,0,521814027,"Australia",-570.928120587784,6.07822617848492e-08
-1.5038249069583,-11.4588392108944,-10.1413677888428,-12.677787506482,1.24320976866305,Inf,0,0,1031211925,"Australia",-571.335145710442,8.73984252862089e-07
-1.54087601874159,-11.4783668751376,-10.141063664007,-11.5603827837311,1.22829312486144,Inf,0,0,1005697169,"Australia",-571.985895970058,4.24720591692625e-06
-1.53053386714734,-11.4528165816757,-10.1353206804683,-15.5986310083872,1.23104054482611,Inf,0,0,40180347,"Australia",-572.260469018761,4.70388836175728e-08
-1.53800896924053,-11.5142570304695,-10.1395318129736,-17.8565139376532,1.24755788882134,Inf,0,0,588632911,"Australia",-572.768302981235,7.62410848457216e-09
-1.51214162290494,-11.474442237641,-10.1408392020349,-10.0147834111194,1.22264058885381,Inf,0,0,770838358,"Australia",-571.496447299077,1.73776863078399e-05
-1.52427724014816,-11.4679782638048,-10.1477522829828,-17.1069372393806,1.22631887318141,Inf,0,0,16789061,"Australia",-570.840329450285,1.00392686757651e-08
-1.50194859637547,-11.4905677998581,-10.1434827187033,-5.36249049672374,1.24380108154194,Inf,0,0,1032239319,"Australia",-571.413404086576,0.00132161817569699
-1.4939079741655,-11.4487190492607,-10.1433409155652,-4.9085284746888,1.22620959705053,Inf,0,0,175157627,"Australia",-570.797411989421,0.00225623533740531
-1.50035927265052,-11.4893708629673,-10.1472340033239,-8.35935121757953,1.26154872458043,Inf,0,0,959748621,"Australia",-571.202378924574,0.000106993751056726
-1.52699021500738,-11.4705048452264,-10.1422602044004,-2.79809317350846,1.24890014665808,Inf,0,0,832193838,"Australia",-571.13702249552,0.0200852786923438
-1.50504771537837,-11.473251512773,-10.1454057066937,-6.44526592204587,1.25051525039269,Inf,0,0,935101657,"Australia",-571.118469584331,0.000539644223310056
-1.49191745705597,-11.4743022885501,-10.1438283470531,-16.6337575782495,1.24627699556333,Inf,0,0,992533562,"Australia",-571.139917731271,1.489386435708e-08
-1.50045240438191,-11.4875356508701,-10.141405675133,-7.09766758928503,1.23276900239586,Inf,0,0,601958137,"Australia",-571.515191876614,0.000189980792062786
-1.50873749969128,-11.4530207907017,-10.1279260130531,-6.66149096464223,1.24696647113955,Inf,0,0,147603017,"Australia",-573.120697217168,0.00037627995417085
-1.59289675312639,-11.4137762015473,-10.1353744027069,-2.46165148395542,1.23606238332127,Inf,0,0,466575125,"Australia",-571.619266525296,0.0280059550624315
-1.53110119906543,-11.4636103566401,-10.140252602995,-28.4029846780251,1.24677352114787,Inf,0,0,552366880,"Australia",-571.914125218922,1.16494342887104e-13
-1.59386095025648,-11.421442923449,-10.1402191248846,-2.44865879611189,1.26163384704689,Inf,0,0,207213913,"Australia",-571.295617861127,0.035203189441705
-1.49583412545089,-11.472211594888,-10.1444333340434,-8.39223486869639,1.23924921974861,Inf,0,0,948964727,"Australia",-571.011927726683,7.52843669852879e-05
-1.52717999665614,-11.4642401836141,-10.1404685790783,-3.29310891062475,1.2301754604592,Inf,0,0,949152344,"Australia",-571.437085251211,0.0115550979688923
-1.55285650386012,-11.4923695494206,-10.1435069459804,-7.18174784406404,1.24562760652887,Inf,0,0,135510722,"Australia",-572.276174383362,0.000255845114228095
-1.5572010823144,-11.4514446588118,-10.13555525687,-5.41458967202747,1.24859173358959,Inf,0,0,356240829,"Australia",-572.901676666539,0.0013801635829217
-1.53156716501615,-11.4985041118316,-10.137717826961,-6.59217671579051,1.24438312007093,Inf,0,0,949284388,"Australia",-572.629362411259,0.000455664542213598
-1.49509254606364,-11.4699848691925,-10.1416436060965,-12.4372015807791,1.23891661339942,Inf,0,0,1023137248,"Australia",-571.297934922294,7.07697646318352e-07
-1.52036026660854,-11.4700357665251,-10.1409115056122,-14.5987444158903,1.23561111202721,Inf,0,0,1023302156,"Australia",-571.631381141593,1.9436251778012e-07
-1.52295958166954,-11.4775022266732,-10.1461695709883,-10.6994951313134,1.22923866686277,Inf,0,0,719327208,"Australia",-571.104663593667,1.04410985338925e-05
-1.51140894301485,-11.4689738211191,-10.1422723434125,-18.1412218401624,1.23825338873867,Inf,0,0,75649676,"Australia",-571.369017042389,4.56696251742473e-09
-1.5030500129703,-11.4584153584066,-10.1434905366885,-8.90428706233728,1.23705387063791,Inf,0,0,175818777,"Australia",-571.025014902033,3.34184660633835e-05
-1.52275749556165,-11.4408066681857,-10.1418923428666,-3.62374625349037,1.24093756213743,Inf,0,0,1018598199,"Australia",-571.1800118955,0.00884002958966532
-1.50187349900392,-11.4561930464517,-10.14862767062,-9.0658913355163,1.24436070799134,Inf,0,0,136024808,"Australia",-570.515497161945,4.19982457530001e-05
-1.51625328274163,-11.4657207255213,-10.1458212094621,-4.81471536805145,1.23015186310496,Inf,0,0,114798763,"Australia",-570.922952634969,0.00271326506060207
-1.51135821468527,-11.4895138379242,-10.1376370815802,-16.9187606414465,1.232867716177,Inf,0,0,929162905,"Australia",-572.120809558182,1.74046412747691e-08
-1.54779404682551,-11.4570545020144,-10.1388000618069,-22.8281691541742,1.24020604994229,Inf,0,0,792201906,"Australia",-572.258294783528,5.65737289644575e-11
-1.51589537839006,-11.4998203436815,-10.1376473290487,-12.9612284932487,1.2332530001388,Inf,0,0,794785766,"Australia",-572.309214997297,4.20365617694892e-07
-1.51912379937265,-11.5075325358741,-10.1462057257505,-5.89719988440039,1.23455417872861,Inf,0,0,464062166,"Australia",-571.436948034899,0.000835069663617273
-1.53643553237122,-11.4987052877039,-10.1414196031809,-5.43313941596148,1.25875318613019,Inf,0,0,305059006,"Australia",-572.444985523258,0.00181587996807787
-1.50970463166001,-11.4752003468244,-10.1444580633568,-20.3760713363505,1.24017981913218,Inf,0,0,898548152,"Australia",-571.184914974754,4.09045769866011e-10
-1.51085509902971,-11.4563203545092,-10.1437085015573,-6.61569152283959,1.22994716794697,Inf,0,0,29263737,"Australia",-571.009178816549,0.000601142141080093
-1.5242942720752,-11.468098495981,-10.1442799090219,-8.79663279417131,1.25177878255231,Inf,0,0,113807721,"Australia",-571.450392696781,4.91651842667436e-05
-1.53489003001664,-11.469437875767,-10.1427810039143,-12.2358315072197,1.2379229577617,Inf,0,0,200989483,"Australia",-571.65267314554,2.9883647088171e-06
-1.51227788482572,-11.4791460867365,-10.1392090452435,-14.4584859170077,1.24446704735927,Inf,0,0,23679515,"Australia",-571.918755031141,2.02685513224524e-07
-1.60715323080035,-11.3857433942543,-10.1285874140283,-2.3085985871702,1.24112727386674,Inf,0,0,408849265,"Australia",-572.118676621851,0.0365951861129017
-1.5464069659943,-11.4843244835169,-10.1285375525287,-10.5093943819746,1.22524769024869,Inf,0,0,671150512,"Australia",-573.830852397493,5.99635339641666e-06
-1.5215598467594,-11.4350213685843,-10.136425162771,-11.3716853540037,1.2453666826048,Inf,0,0,512544793,"Australia",-571.9394881888,2.81407268051077e-06
-1.49783956847751,-11.4523811859859,-10.1398675196538,-6.44925737551638,1.23743410563742,Inf,0,0,168936273,"Australia",-571.340561541145,0.000594042016242854
-1.49564733495299,-11.4667421354599,-10.1415549698195,-8.38955389623927,1.23504560931777,Inf,0,0,876710714,"Australia",-571.247018630227,5.78212059430636e-05
-1.49487994081169,-11.4714894391273,-10.1403652717184,-8.31163122322622,1.21451529010646,Inf,0,0,1009680954,"Australia",-571.321171395309,0.000102207409781276
-1.49969870145215,-11.462915161811,-10.1439310264666,-15.5912463878923,1.23221532383801,Inf,0,0,753585405,"Australia",-570.95131422726,3.9921484640721e-08
-1.51692028075308,-11.4613505102283,-10.1403824108639,-17.4038399156804,1.23149093084261,Inf,0,0,739442607,"Australia",-571.52524486074,8.38775255508905e-09
-1.49671851515032,-11.4742785925994,-10.1429324491778,-14.589367425604,1.23069453148365,Inf,0,0,121661018,"Australia",-571.14293847222,1.58697846488244e-07
-1.51824094931438,-11.4937890951652,-10.1478001028364,-4.27915548037941,1.25565265486362,Inf,0,0,584521651,"Australia",-571.281181535458,0.00615646328886153
-1.50321317656612,-11.4384329507433,-10.1436701565124,-4.40823793654528,1.21769232146844,Inf,0,0,133569560,"Australia",-570.70840258642,0.00357027312150447
-1.53599005240572,-11.4842864957786,-10.138165625888,-9.92844006847393,1.23631501266288,Inf,0,0,888709233,"Australia",-572.387409045993,2.07207144365179e-05
-1.51211137814794,-11.4660203768622,-10.1360882951005,-6.1176632564415,1.24592154846063,Inf,0,0,1015217773,"Australia",-572.177311079887,0.000857241433635645
-1.52285113228608,-11.4886367491035,-10.1388622385591,-11.7781773322751,1.23778149364112,Inf,0,0,187828639,"Australia",-572.151498981208,1.99851937647361e-06
-1.54920275393586,-11.4682897474184,-10.1358718824743,-10.5974615739604,1.26150435376153,Inf,0,0,596670062,"Australia",-573.065987434329,9.4419726624748e-06
-1.52177648364592,-11.4507993496214,-10.1364538307757,-8.05664027931306,1.22571386549791,Inf,0,0,876438038,"Australia",-571.929797410921,8.60607672669188e-05
-1.51298907558177,-11.4629038427618,-10.1415052913629,-11.0707576020431,1.24494614603092,Inf,0,0,126538728,"Australia",-571.479050026954,8.26190833903618e-06
-1.49880534635671,-11.4622451097728,-10.1386560106307,-15.4010536932821,1.25637177603909,Inf,0,0,249634986,"Australia",-571.800305053441,5.03033715692551e-08
-1.57970701400817,-11.4653503920992,-10.1321212524462,-2.96148487225799,1.26078654660553,Inf,0,0,202697316,"Australia",-573.48529604286,0.0178490411237785
-1.50092831233465,-11.4558675819241,-10.1384040891123,-12.4751474037164,1.25211614857402,Inf,0,0,891291134,"Australia",-571.730618891492,1.53937177984582e-06
-1.51627252517079,-11.4587464955225,-10.1438606053514,-23.0798749606545,1.25569790340792,Inf,0,0,152370485,"Australia",-571.340686730364,3.99254889171959e-11
-1.49971520858113,-11.4569562594762,-10.1444157351962,-10.6859679691959,1.22920381621816,Inf,0,0,795713229,"Australia",-570.82166867597,8.41291550750508e-06
-1.50514285063232,-11.4709565273509,-10.1430044549951,-8.21255780866992,1.24241858947862,Inf,0,0,37953779,"Australia",-571.275810181671,8.11595345249781e-05
-1.50548390708695,-11.4670265437797,-10.1429760057181,-8.86644099374674,1.25111118922127,Inf,0,0,189803941,"Australia",-571.33753846939,3.66614677524077e-05
-1.52826971295623,-11.4634720402512,-10.1377354887698,-8.73141907377481,1.24394266412408,Inf,0,0,300613800,"Australia",-572.144394491021,7.63959191119882e-05
-1.50915215114536,-11.4712448173618,-10.1387980662828,-8.20342266433513,1.22793941103775,Inf,0,0,1047197545,"Australia",-571.704404812781,0.000118732835944232
-1.49614137279819,-11.5023999343352,-10.1434125403811,-7.59461227629645,1.24963411954337,Inf,0,0,398576039,"Australia",-571.581370931282,0.00022014304892115
-1.50848873676648,-11.4410884873594,-10.1370875539852,-4.88726109095346,1.24219422343596,Inf,0,0,561391521,"Australia",-571.709584306418,0.00198455641140813
-1.49901048889219,-11.4985707740632,-10.1486024796329,-15.4402807336903,1.22829152324744,Inf,0,0,593622256,"Australia",-570.793118764559,3.86091312554598e-08
-1.52920344855327,-11.4617034654482,-10.1413315702819,-3.0868018974137,1.22498523182371,Inf,0,0,227341156,"Australia",-571.200061664483,0.0144628078275562
-1.50556848180192,-11.4587639799857,-10.1385336813277,-7.00002696803465,1.21152677996576,Inf,0,0,1048696720,"Australia",-571.502132036524,0.00023079497526306
-1.51136265646675,-11.4825665426082,-10.1462786243218,-5.84059516732067,1.23209585661768,Inf,0,0,567524752,"Australia",-571.014819850697,0.00121672803400988
-1.50268878040284,-11.5007671511988,-10.1447958506157,-11.9313599430483,1.22384591741197,Inf,0,0,432852079,"Australia",-571.241321087956,2.95530564149586e-06
-1.51680929877413,-11.4556340511193,-10.1438055540273,-5.82473911802067,1.24705702307632,Inf,0,0,246492808,"Australia",-571.213314901217,0.000686895612728696
-1.48576428318383,-11.4454605427545,-10.1479249205792,-20.6959776141119,1.23212540838012,Inf,0,0,447133253,"Australia",-570.273720476157,3.55416298454741e-10
-1.50321419747291,-11.4509618754863,-10.1410050729136,-19.0505013514847,1.25566670586005,Inf,0,0,974314796,"Australia",-571.439507270073,1.23688247223794e-09
-1.51649491017713,-11.463040292058,-10.1417854424152,-10.6831324739173,1.23786009826008,Inf,0,0,996736747,"Australia",-571.422671236679,1.04088686108365e-05
-1.50177536896696,-11.4657222104022,-10.1461479810958,-6.73643826759948,1.22699527291864,Inf,0,0,308022689,"Australia",-570.72264945261,0.000362156417652906
-1.49955086809726,-11.4965933421247,-10.146514451042,-7.08065505380959,1.22377518861798,Inf,0,0,274328097,"Australia",-570.971746675584,0.000281097971907758
-1.49219559320403,-11.4584507537312,-10.1500762281101,-6.39693133499179,1.23741895878519,Inf,0,0,801906262,"Australia",-570.247042044335,0.000483461486887981
-1.51524137120788,-11.4865184661157,-10.1465389392592,-9.49391267937605,1.23123659876719,Inf,0,0,123806211,"Australia",-571.073101582382,3.27197837990266e-05
-1.48866019793385,-11.4950391823621,-10.1441790167305,-5.88966834840519,1.23786938516154,Inf,0,0,165392413,"Australia",-571.223692608128,0.000830402757947351
-1.55275886684856,-11.5030269601459,-10.1330348265982,-24.2469127003555,1.24051018231418,Inf,0,0,267324686,"Australia",-573.705178131923,7.73826274575933e-12
-1.52247125840058,-11.4904283217133,-10.137671782759,-7.06111615306503,1.23490792850045,Inf,0,0,344920973,"Australia",-572.293166303135,0.000278834734027043
-1.48463140562206,-11.4658594211173,-10.1431621037376,-4.81431605808468,1.23186415465975,Inf,0,0,885550905,"Australia",-570.948005114535,0.00272154909064229
-1.52516733229657,-11.4739435208472,-10.1406536383816,-2.76142928858752,1.24812870544717,Inf,0,0,400025349,"Australia",-571.307963804855,0.0287925329985305
-1.51493635238716,-11.4804731750009,-10.1407160077678,-11.3381910994154,1.24513965877623,Inf,0,0,686484777,"Australia",-571.791250662289,3.65208193173892e-06
-1.51224612744915,-11.4904270113245,-10.1423930769626,-13.6632924052465,1.23766832618488,Inf,0,0,1025004829,"Australia",-571.600521689211,2.47316044927934e-07
-1.51293480309889,-11.4686624993845,-10.1351046653484,-7.84761129255528,1.21033051211786,Inf,0,0,371337014,"Australia",-572.115328932374,0.000123482987310493
-1.5037303734436,-11.4422537895022,-10.1401174257894,-13.9472078239966,1.22828021717992,Inf,0,0,167071738,"Australia",-571.20813295919,2.95620516126086e-07
-1.48613602818544,-11.4474121437637,-10.1461434952623,-5.47596410297301,1.23018064142226,Inf,0,0,1021093877,"Australia",-570.458375137243,0.00140283651826623
-1.48068498175617,-11.4654829244699,-10.1489905028555,-5.2956759215109,1.2426028874075,Inf,0,0,124521120,"Australia",-570.39500555373,0.00190672316418199
-1.47964242965727,-11.4603770889506,-10.1505635036948,-17.0412909775071,1.23601907738764,Inf,0,0,913085491,"Australia",-570.133246507098,1.73799985016983e-08
-1.50984280193573,-11.4466160747041,-10.1376290249125,-6.91460361885581,1.2515259180991,Inf,0,0,133612682,"Australia",-571.820371566234,0.000347819190948455
-1.57550672557079,-11.4540875016309,-10.1357499625504,-2.70610241556812,1.23412471475376,Inf,0,0,949424120,"Australia",-572.144054220291,0.0178791715939571
-1.52135076944629,-11.4690591468278,-10.1366191089896,-25.0363617479565,1.25040985076208,Inf,0,0,589203521,"Australia",-572.318318206085,4.33327671865578e-12
-1.55907336434512,-11.4622141946254,-10.1443616984341,-2.44240363047731,1.25813846908592,Inf,0,0,1044917086,"Australia",-570.892251987536,0.0334570182787639
-1.50975924283248,-11.4434867583469,-10.1400068237728,-4.57041711087943,1.24185223657363,Inf,0,0,1023807349,"Australia",-571.383116759062,0.00359415457898016
-1.49398640493676,-11.4718076310693,-10.1481488085114,-9.23024043839696,1.24309887905426,Inf,0,0,435552777,"Australia",-570.630954698257,3.06121388310386e-05
-1.49561566232795,-11.4491559649441,-10.1400565980466,-5.04138739963871,1.24032557249274,Inf,0,0,1036153000,"Australia",-571.284757947138,0.00144055503961528
-1.50076659672072,-11.4337426872774,-10.1441657039846,-22.0896322184958,1.24299075133043,Inf,0,0,315099396,"Australia",-570.768629190497,1.22796269365914e-10
