"tau","beta1","beta3","beta.sd","omega","rho","FOI.0","I.0","seed","country","LogLik","seLogLik"
-1.55025324582654,-11.4979395702367,-10.1383867324587,-4.65771160563687,1.22240192397017,Inf,0,0,420367180,"Australia",-572.691454533083,0.00363238313034055
-1.53107987255934,-11.4496394534182,-10.1366917382535,-9.84159332869996,1.23538700658876,Inf,0,0,25826725,"Australia",-572.094715121297,2.0315830636855e-05
-1.50621565403218,-11.4969112323662,-10.1396539611442,-17.279568471254,1.23092781775451,Inf,0,0,344242124,"Australia",-571.884503222002,8.4581388413539e-09
-1.53406907900875,-11.4734480094257,-10.1389347323593,-5.18045221148942,1.21290473984014,Inf,0,0,498729880,"Australia",-571.988161057758,0.000939500848693554
-1.50372648658839,-11.4821085708219,-10.1473682211739,-22.171440056643,1.23246019400131,Inf,0,0,1064164645,"Australia",-570.81407593464,8.58146996855129e-11
-1.5357799683291,-11.4500473965089,-10.1356277726256,-14.9964937230069,1.23850248976307,Inf,0,0,132319277,"Australia",-572.340938799183,8.34484954160588e-08
-1.49081429896204,-11.458125294787,-10.1448278506371,-8.48566632005756,1.23808880925543,Inf,0,0,1029213987,"Australia",-570.782967460107,8.81157789512445e-05
-1.52574539164713,-11.5081628709053,-10.1383336154589,-9.67074354551978,1.23183718666034,Inf,0,0,191226825,"Australia",-572.463119765364,1.48113943828649e-05
-1.50549467577881,-11.4500863092448,-10.1460786773022,-17.9299602202856,1.25461779483799,Inf,0,0,105378805,"Australia",-570.878314629025,4.47407998621704e-09
-1.51431896679422,-11.4482591027855,-10.1431000844676,-22.0922693675513,1.24541765289666,Inf,0,0,696586486,"Australia",-571.175643833919,7.5443793486915e-11
-1.51965187066431,-11.4659768369712,-10.1403353154111,-3.91514401361443,1.23217262864525,Inf,0,0,649345795,"Australia",-571.547815128537,0.00651591873379153
-1.56522347257052,-11.4656334416592,-10.1406021582531,-3.40292174567924,1.2447450383993,Inf,0,0,904998320,"Australia",-572.248781996123,0.012730562046901
-1.52443882824351,-11.4675588670844,-10.1407085107786,-6.23959665287725,1.23309842024372,Inf,0,0,1017828952,"Australia",-571.666326974643,0.000722870818756845
-1.51660287263646,-11.457999688656,-10.1418179871073,-7.18813254067619,1.23932567877634,Inf,0,0,869821512,"Australia",-571.382820413285,0.000250530773756031
