Period,Value
Sep-2012,"362,886"
Oct-2012,"362,014"
Nov-2012,"363,393"
Dec-2012,"365,669"
Jan-2013,"367,676"
Feb-2013,"372,573"
Mar-2013,"369,575"
Apr-2013,"368,614"
May-2013,"370,671"
Jun-2013,"372,894"
Jul-2013,"374,280"
Aug-2013,"372,768"
Sep-2013,"373,610"
Oct-2013,"374,196"
Nov-2013,"374,691"
Dec-2013,"377,425"
Jan-2014,"373,036"
Feb-2014,"377,666"
Mar-2014,"382,356"
Apr-2014,"385,855"
May-2014,"385,572"
Jun-2014,"388,226"
Jul-2014,"387,541"
Aug-2014,"389,924"
Sep-2014,"388,478"
Oct-2014,"390,183"
Nov-2014,"391,799"
Dec-2014,"388,116"
Jan-2015,"384,487"
Feb-2015,"381,432"
Mar-2015,"387,665"
Apr-2015,"387,235"
May-2015,"392,268"
Jun-2015,"391,955"
Jul-2015,"395,100"
Aug-2015,"394,944"
Sep-2015,"394,429"
Oct-2015,"394,200"
Nov-2015,"395,261"
Dec-2015,"395,292"
