Period,Value
Jan-1992,"3,846"
Feb-1992,"3,908"
Mar-1992,"4,157"
Apr-1992,"4,141"
May-1992,"4,275"
Jun-1992,"4,357"
Jul-1992,"4,407"
Aug-1992,"4,446"
Sep-1992,"4,328"
Oct-1992,"4,497"
Nov-1992,"4,687"
Dec-1992,"5,287"
Jan-1993,"4,104"
Feb-1993,"3,908"
Mar-1993,"4,369"
Apr-1993,"4,372"
May-1993,"4,535"
Jun-1993,"4,568"
Jul-1993,"4,682"
Aug-1993,"4,733"
Sep-1993,"4,621"
Oct-1993,"4,775"
Nov-1993,"5,158"
Dec-1993,"5,631"
Jan-1994,"4,018"
Feb-1994,"4,140"
Mar-1994,"4,827"
Apr-1994,"4,700"
May-1994,"4,867"
Jun-1994,"4,958"
Jul-1994,"4,980"
Aug-1994,"5,356"
Sep-1994,"5,203"
Oct-1994,"5,328"
Nov-1994,"5,734"
Dec-1994,"6,305"
Jan-1995,"4,649"
Feb-1995,"4,410"
Mar-1995,"5,084"
Apr-1995,"4,818"
May-1995,"5,195"
Jun-1995,"5,196"
Jul-1995,"5,190"
Aug-1995,"5,506"
Sep-1995,"5,418"
Oct-1995,"5,505"
Nov-1995,"6,090"
Dec-1995,"6,409"
Jan-1996,"4,788"
Feb-1996,"4,833"
Mar-1996,"5,410"
Apr-1996,"5,310"
May-1996,"5,603"
Jun-1996,"5,479"
Jul-1996,"5,673"
Aug-1996,"5,893"
Sep-1996,"5,589"
Oct-1996,"5,970"
Nov-1996,"6,425"
Dec-1996,"6,734"
Jan-1997,"5,311"
Feb-1997,"5,116"
Mar-1997,"5,715"
Apr-1997,"5,670"
May-1997,"6,010"
Jun-1997,"5,805"
Jul-1997,"6,027"
Aug-1997,"6,263"
Sep-1997,"6,094"
Oct-1997,"6,369"
Nov-1997,"6,781"
Dec-1997,"7,554"
Jan-1998,"5,822"
Feb-1998,"5,581"
Mar-1998,"6,162"
Apr-1998,"6,038"
May-1998,"6,225"
Jun-1998,"6,310"
Jul-1998,"6,466"
Aug-1998,"6,502"
Sep-1998,"6,329"
Oct-1998,"6,693"
Nov-1998,"7,186"
Dec-1998,"8,098"
Jan-1999,"5,922"
Feb-1999,"5,996"
Mar-1999,"6,790"
Apr-1999,"6,481"
May-1999,"6,684"
Jun-1999,"6,853"
Jul-1999,"6,961"
Aug-1999,"7,240"
Sep-1999,"7,139"
Oct-1999,"7,339"
Nov-1999,"8,006"
Dec-1999,"8,883"
Jan-2000,"6,638"
Feb-2000,"6,989"
Mar-2000,"7,622"
Apr-2000,"7,134"
May-2000,"7,635"
Jun-2000,"7,487"
Jul-2000,"7,508"
Aug-2000,"7,974"
Sep-2000,"7,535"
Oct-2000,"7,667"
Nov-2000,"8,346"
Dec-2000,"8,635"
Jan-2001,"7,050"
Feb-2001,"6,797"
Mar-2001,"7,572"
Apr-2001,"6,940"
May-2001,"7,551"
Jun-2001,"7,491"
Jul-2001,"7,456"
Aug-2001,"7,971"
Sep-2001,"7,078"
Oct-2001,"7,603"
Nov-2001,"8,548"
Dec-2001,"9,427"
Jan-2002,"7,149"
Feb-2002,"7,091"
Mar-2002,"7,777"
Apr-2002,"7,370"
May-2002,"7,991"
Jun-2002,"7,502"
Jul-2002,"7,671"
Aug-2002,"8,205"
Sep-2002,"7,456"
Oct-2002,"7,859"
Nov-2002,"8,839"
Dec-2002,"9,528"
Jan-2003,"7,190"
Feb-2003,"6,713"
Mar-2003,"7,618"
Apr-2003,"7,374"
May-2003,"8,078"
Jun-2003,"7,753"
Jul-2003,"8,074"
Aug-2003,"8,384"
Sep-2003,"8,017"
Oct-2003,"8,351"
Nov-2003,"9,018"
Dec-2003,"10,166"
Jan-2004,"7,651"
Feb-2004,"7,613"
Mar-2004,"8,499"
Apr-2004,"7,991"
May-2004,"8,112"
Jun-2004,"8,443"
Jul-2004,"8,895"
Aug-2004,"8,883"
Sep-2004,"8,441"
Oct-2004,"8,718"
Nov-2004,"9,594"
Dec-2004,"10,917"
Jan-2005,"7,908"
Feb-2005,"7,973"
Mar-2005,"8,787"
Apr-2005,"8,418"
May-2005,"8,649"
Jun-2005,"8,966"
Jul-2005,"8,957"
Aug-2005,"9,607"
Sep-2005,"9,216"
Oct-2005,"9,110"
Nov-2005,"10,232"
Dec-2005,"11,297"
Jan-2006,"8,595"
Feb-2006,"8,457"
Mar-2006,"9,412"
Apr-2006,"8,556"
May-2006,"9,209"
Jun-2006,"9,447"
Jul-2006,"9,244"
Aug-2006,"9,940"
Sep-2006,"9,511"
Oct-2006,"9,178"
Nov-2006,"10,195"
Dec-2006,"11,051"
Jan-2007,"8,802"
Feb-2007,"8,423"
Mar-2007,"9,415"
Apr-2007,"8,553"
May-2007,"9,266"
Jun-2007,"9,171"
Jul-2007,"9,194"
Aug-2007,"9,867"
Sep-2007,"8,885"
Oct-2007,"9,069"
Nov-2007,"10,012"
Dec-2007,"10,487"
Jan-2008,"8,167"
Feb-2008,"8,107"
Mar-2008,"8,385"
Apr-2008,"8,031"
May-2008,"8,611"
Jun-2008,"8,123"
Jul-2008,"8,501"
Aug-2008,"8,463"
Sep-2008,"7,684"
Oct-2008,"7,721"
Nov-2008,"8,130"
Dec-2008,"8,876"
Jan-2009,"6,803"
Feb-2009,"6,599"
Mar-2009,"6,916"
Apr-2009,"6,616"
May-2009,"6,983"
Jun-2009,"6,933"
Jul-2009,"7,207"
Aug-2009,"7,170"
Sep-2009,"6,981"
Oct-2009,"6,865"
Nov-2009,"7,394"
Dec-2009,"8,427"
Jan-2010,"6,337"
Feb-2010,"6,482"
Mar-2010,"7,290"
Apr-2010,"6,746"
May-2010,"6,952"
Jun-2010,"6,918"
Jul-2010,"7,260"
Aug-2010,"7,347"
Sep-2010,"7,115"
Oct-2010,"6,807"
Nov-2010,"7,648"
Dec-2010,"8,506"
Jan-2011,"6,249"
Feb-2011,"6,489"
Mar-2011,"7,530"
Apr-2011,"6,896"
May-2011,"7,086"
Jun-2011,"7,039"
Jul-2011,"7,244"
Aug-2011,"7,689"
Sep-2011,"7,455"
Oct-2011,"6,977"
Nov-2011,"7,945"
Dec-2011,"9,053"
Jan-2012,"6,886"
Feb-2012,"7,192"
Mar-2012,"7,811"
Apr-2012,"6,894"
May-2012,"7,705"
Jun-2012,"7,394"
Jul-2012,"7,560"
Aug-2012,"8,065"
Sep-2012,"7,427"
Oct-2012,"7,234"
Nov-2012,"8,220"
Dec-2012,"9,164"
Jan-2013,"7,223"
Feb-2013,"6,997"
Mar-2013,"7,753"
Apr-2013,"7,167"
May-2013,"7,879"
Jun-2013,"7,582"
Jul-2013,"7,984"
Aug-2013,"8,457"
Sep-2013,"7,831"
Oct-2013,"8,018"
Nov-2013,"8,812"
Dec-2013,"9,176"
Jan-2014,"7,132"
Feb-2014,"7,172"
Mar-2014,"8,028"
Apr-2014,"7,705"
May-2014,"8,293"
Jun-2014,"7,762"
Jul-2014,"8,262"
Aug-2014,"8,591"
Sep-2014,"8,203"
Oct-2014,"8,254"
Nov-2014,"8,767"
Dec-2014,"10,063"
Jan-2015,"7,759"
Feb-2015,"7,403"
Mar-2015,"8,404"
Apr-2015,"8,034"
May-2015,"8,673"
Jun-2015,"8,350"
Jul-2015,"8,834"
Aug-2015,"8,874"
Sep-2015,"8,790"
Oct-2015,"8,820"
Nov-2015,"9,187"
Dec-2015,"10,624"
