Period,Value
Jul-14,"394,494"
Aug-14,"400,267"
Sep-14,"373,426"
Oct-14,"387,116"
Nov-14,"389,581"
Dec-14,"449,272"
Jan-15,"348,575"
Feb-15,"339,180"
Mar-15,"389,831"
Apr-15,"384,957"
May-15,"406,577"
Jun-15,"395,674"
Jul-15,"404,158"
Aug-15,"403,339"
Sep-15,"379,473"
Oct-15,"390,938"
Nov-15,"394,128"
Dec-15,"460,304"
