Date,Adj_Close
4/21/2016,17982.52
4/20/2016,18096.27
4/19/2016,18053.6
4/18/2016,18004.16
4/15/2016,17897.46
4/14/2016,17926.43
4/13/2016,17908.28
4/12/2016,17721.25
4/11/2016,17556.41
4/8/2016,17576.96
4/7/2016,17541.96
4/6/2016,17716.05
4/5/2016,17603.32
4/4/2016,17737
4/1/2016,17792.75
3/31/2016,17685.09
3/30/2016,17716.66
3/29/2016,17633.11
3/28/2016,17535.39
3/24/2016,17515.73
3/23/2016,17502.59
3/22/2016,17582.57
3/21/2016,17623.87
3/18/2016,17602.3
3/17/2016,17481.49
3/16/2016,17325.76
3/15/2016,17251.53
3/14/2016,17229.13
3/11/2016,17213.31
3/10/2016,16995.13
3/9/2016,17000.36
3/8/2016,16964.1
3/7/2016,17073.95
3/4/2016,17006.77
3/3/2016,16943.9
3/2/2016,16899.32
3/1/2016,16865.08
2/29/2016,16516.5
2/26/2016,16639.97
2/25/2016,16697.29
2/24/2016,16484.99
2/23/2016,16431.78
2/22/2016,16620.66
2/19/2016,16391.99
2/18/2016,16413.43
2/17/2016,16453.83
2/16/2016,16196.41
2/12/2016,15973.84
2/11/2016,15660.18
2/10/2016,15914.74
2/9/2016,16014.38
2/8/2016,16027.05
2/5/2016,16204.97
2/4/2016,16416.58
2/3/2016,16336.66
2/2/2016,16153.54
2/1/2016,16449.18
1/29/2016,16466.3
1/28/2016,16069.64
1/27/2016,15944.46
1/26/2016,16167.23
1/25/2016,15885.22
1/22/2016,16093.51
1/21/2016,15882.68
1/20/2016,15766.74
1/19/2016,16016.02
1/15/2016,15988.08
1/14/2016,16379.05
1/13/2016,16151.41
1/12/2016,16516.22
1/11/2016,16398.57
1/8/2016,16346.45
1/7/2016,16514.1
1/6/2016,16906.51
1/5/2016,17158.66
1/4/2016,17148.94
12/31/2015,17425.03
12/30/2015,17603.87
12/29/2015,17720.98
12/28/2015,17528.27
12/24/2015,17552.17
12/23/2015,17602.61
12/22/2015,17417.27
12/21/2015,17251.62
12/18/2015,17128.55
12/17/2015,17495.84
12/16/2015,17749.09
12/15/2015,17524.91
12/14/2015,17368.5
12/11/2015,17265.21
12/10/2015,17574.75
12/9/2015,17492.3
12/8/2015,17568
12/7/2015,17730.51
12/4/2015,17847.63
12/3/2015,17477.67
12/2/2015,17729.68
12/1/2015,17888.35
11/30/2015,17719.92
11/27/2015,17813.39
11/25/2015,17813.39
11/24/2015,17812.19
11/23/2015,17792.68
11/20/2015,17823.81
11/19/2015,17732.75
11/18/2015,17737.16
11/17/2015,17489.5
11/16/2015,17483.01
11/13/2015,17245.24
11/12/2015,17448.07
11/11/2015,17702.22
11/10/2015,17758.21
11/9/2015,17730.48
11/6/2015,17910.33
11/5/2015,17863.43
11/4/2015,17867.58
11/3/2015,17918.15
11/2/2015,17828.76
10/30/2015,17663.54
10/29/2015,17755.8
10/28/2015,17779.52
10/27/2015,17581.43
10/26/2015,17623.05
10/23/2015,17646.7
10/22/2015,17489.16
10/21/2015,17168.61
10/20/2015,17217.11
10/19/2015,17230.54
10/16/2015,17215.97
10/15/2015,17141.75
10/14/2015,16924.75
10/13/2015,17081.89
10/12/2015,17131.86
10/9/2015,17084.49
10/8/2015,17050.75
10/7/2015,16912.29
10/6/2015,16790.19
10/5/2015,16776.43
10/2/2015,16472.37
10/1/2015,16272.01
9/30/2015,16284.7
9/29/2015,16049.13
9/28/2015,16001.89
9/25/2015,16314.67
9/24/2015,16201.32
9/23/2015,16279.89
9/22/2015,16330.47
9/21/2015,16510.19
9/18/2015,16384.58
9/17/2015,16674.74
9/16/2015,16739.95
9/15/2015,16599.85
9/14/2015,16370.96
9/11/2015,16433.09
9/10/2015,16330.4
9/9/2015,16253.57
9/8/2015,16492.68
9/4/2015,16102.38
9/3/2015,16374.76
9/2/2015,16351.38
9/1/2015,16058.35
8/31/2015,16528.03
8/28/2015,16643.01
8/27/2015,16654.77
8/26/2015,16285.51
8/25/2015,15666.44
8/24/2015,15871.35
8/21/2015,16459.75
8/20/2015,16990.69
8/19/2015,17348.73
8/18/2015,17511.34
8/17/2015,17545.18
8/14/2015,17477.4
8/13/2015,17408.25
8/12/2015,17402.51
8/11/2015,17402.84
8/10/2015,17615.17
8/7/2015,17373.38
8/6/2015,17419.75
8/5/2015,17540.47
8/4/2015,17550.69
8/3/2015,17598.2
7/31/2015,17689.86
7/30/2015,17745.98
7/29/2015,17751.39
7/28/2015,17630.27
7/27/2015,17440.59
7/24/2015,17568.53
7/23/2015,17731.92
7/22/2015,17851.04
7/21/2015,17919.29
7/20/2015,18100.41
7/17/2015,18086.45
7/16/2015,18120.25
7/15/2015,18050.17
7/14/2015,18053.58
7/13/2015,17977.68
7/10/2015,17760.41
7/9/2015,17548.62
7/8/2015,17515.42
7/7/2015,17776.91
7/6/2015,17683.58
7/2/2015,17730.11
7/1/2015,17757.91
6/30/2015,17619.51
6/29/2015,17596.35
6/26/2015,17946.68
6/25/2015,17890.36
6/24/2015,17966.07
6/23/2015,18144.07
6/22/2015,18119.78
6/19/2015,18015.95
6/18/2015,18115.84
6/17/2015,17935.74
