Date,Rate
26-Jan-01,1.459
29-Jan-01,1.457
30-Jan-01,1.4615
31-Jan-01,1.4613
1-Feb-01,1.4775
2-Feb-01,1.4692
5-Feb-01,1.475
6-Feb-01,1.4585
7-Feb-01,1.4633
8-Feb-01,1.444
9-Feb-01,1.449
12-Feb-01,1.4513
13-Feb-01,1.451
14-Feb-01,1.4578
15-Feb-01,1.449
16-Feb-01,1.4505
19-Feb-01,ND
20-Feb-01,1.4436
21-Feb-01,1.4385
22-Feb-01,1.4447
23-Feb-01,1.447
26-Feb-01,1.444
27-Feb-01,1.4405
28-Feb-01,1.4433
1-Mar-01,1.4553
2-Mar-01,1.4725
5-Mar-01,1.4687
6-Mar-01,1.4655
7-Mar-01,1.4612
8-Mar-01,1.4667
9-Mar-01,1.4675
12-Mar-01,1.467
13-Mar-01,1.4513
14-Mar-01,1.4497
15-Mar-01,1.4436
16-Mar-01,1.4265
19-Mar-01,1.4237
20-Mar-01,1.4285
21-Mar-01,1.431
22-Mar-01,1.4223
23-Mar-01,1.4292
26-Mar-01,1.4345
27-Mar-01,1.429
28-Mar-01,1.4352
29-Mar-01,1.4302
30-Mar-01,1.419
2-Apr-01,1.42
3-Apr-01,1.4305
4-Apr-01,1.435
5-Apr-01,1.4266
6-Apr-01,1.4383
9-Apr-01,1.447
10-Apr-01,1.436
11-Apr-01,1.434
12-Apr-01,1.4391
13-Apr-01,1.4354
16-Apr-01,1.436
17-Apr-01,1.4287
18-Apr-01,1.4257
19-Apr-01,1.4366
20-Apr-01,1.4428
23-Apr-01,1.4377
24-Apr-01,1.4365
25-Apr-01,1.4397
26-Apr-01,1.4378
27-Apr-01,1.4362
30-Apr-01,1.4306
1-May-01,1.434
2-May-01,1.4345
3-May-01,1.4322
4-May-01,1.4362
7-May-01,1.44
8-May-01,1.4315
9-May-01,1.4209
10-May-01,1.4186
11-May-01,1.4177
14-May-01,1.4176
15-May-01,1.4236
16-May-01,1.4293
17-May-01,1.431
18-May-01,1.4333
21-May-01,1.438
22-May-01,1.4278
23-May-01,1.4245
24-May-01,1.4103
25-May-01,1.4207
28-May-01,ND
29-May-01,1.4187
30-May-01,1.4251
31-May-01,1.4175
1-Jun-01,1.416
4-Jun-01,1.4123
5-Jun-01,1.4113
6-Jun-01,1.3906
7-Jun-01,1.39
8-Jun-01,1.3817
11-Jun-01,1.373
12-Jun-01,1.3781
13-Jun-01,1.3909
14-Jun-01,1.4005
15-Jun-01,1.4056
18-Jun-01,1.4034
19-Jun-01,1.4008
20-Jun-01,1.3952
21-Jun-01,1.4167
22-Jun-01,1.414
25-Jun-01,1.413
26-Jun-01,1.4154
27-Jun-01,1.419
28-Jun-01,1.407
29-Jun-01,1.4077
2-Jul-01,1.4168
3-Jul-01,1.4058
4-Jul-01,ND
5-Jul-01,1.3998
6-Jul-01,1.4106
9-Jul-01,1.4081
10-Jul-01,1.4098
11-Jul-01,1.4121
12-Jul-01,1.4065
13-Jul-01,1.3995
16-Jul-01,1.4011
17-Jul-01,1.4037
18-Jul-01,1.416
19-Jul-01,1.419
20-Jul-01,1.429
23-Jul-01,1.4185
24-Jul-01,1.4223
25-Jul-01,1.428
26-Jul-01,1.4265
27-Jul-01,1.4256
30-Jul-01,1.426
31-Jul-01,1.4252
1-Aug-01,1.433
2-Aug-01,1.4295
3-Aug-01,1.4268
6-Aug-01,1.4175
7-Aug-01,1.4169
8-Aug-01,1.4135
9-Aug-01,1.4218
10-Aug-01,1.4273
13-Aug-01,1.4217
14-Aug-01,1.4285
15-Aug-01,1.4379
16-Aug-01,1.4438
17-Aug-01,1.4465
20-Aug-01,1.4445
21-Aug-01,1.4468
22-Aug-01,1.4538
23-Aug-01,1.4478
24-Aug-01,1.4443
27-Aug-01,1.443
28-Aug-01,1.4501
29-Aug-01,1.4515
30-Aug-01,1.4577
31-Aug-01,1.451
3-Sep-01,ND
4-Sep-01,1.4444
5-Sep-01,1.4553
6-Sep-01,1.4561
7-Sep-01,1.4626
10-Sep-01,1.4585
11-Sep-01,ND
12-Sep-01,1.4666
13-Sep-01,1.4697
14-Sep-01,1.4678
17-Sep-01,1.4661
18-Sep-01,1.4635
19-Sep-01,1.4714
20-Sep-01,1.4642
21-Sep-01,1.4547
24-Sep-01,1.4616
25-Sep-01,1.4692
26-Sep-01,1.4745
27-Sep-01,1.4733
28-Sep-01,1.4691
1-Oct-01,1.4785
2-Oct-01,1.4618
3-Oct-01,1.4756
4-Oct-01,1.4774
5-Oct-01,1.4795
8-Oct-01,ND
9-Oct-01,1.4605
10-Oct-01,1.449
11-Oct-01,1.4415
12-Oct-01,1.4518
15-Oct-01,1.447
16-Oct-01,1.4478
17-Oct-01,1.4505
18-Oct-01,1.444
19-Oct-01,1.4372
22-Oct-01,1.4265
23-Oct-01,1.4214
24-Oct-01,1.4263
25-Oct-01,1.4306
26-Oct-01,1.4348
29-Oct-01,1.4525
30-Oct-01,1.4546
31-Oct-01,1.4534
1-Nov-01,1.462
2-Nov-01,1.4615
5-Nov-01,1.457
6-Nov-01,1.4591
7-Nov-01,1.465
8-Nov-01,1.454
9-Nov-01,1.4574
12-Nov-01,ND
13-Nov-01,1.4425
14-Nov-01,1.4429
15-Nov-01,1.431
16-Nov-01,1.4278
19-Nov-01,1.4107
20-Nov-01,1.418
21-Nov-01,1.4154
22-Nov-01,ND
23-Nov-01,1.4095
26-Nov-01,1.4125
27-Nov-01,1.4137
28-Nov-01,1.4235
29-Nov-01,1.4232
30-Nov-01,1.4255
3-Dec-01,1.4217
4-Dec-01,1.4216
5-Dec-01,1.4164
6-Dec-01,1.425
7-Dec-01,1.4315
10-Dec-01,1.4342
11-Dec-01,1.4365
12-Dec-01,1.444
13-Dec-01,1.4454
14-Dec-01,1.4547
17-Dec-01,1.4588
18-Dec-01,1.4565
19-Dec-01,1.4508
20-Dec-01,1.4464
21-Dec-01,1.4385
24-Dec-01,1.4385
25-Dec-01,ND
26-Dec-01,1.449
27-Dec-01,1.454
28-Dec-01,1.4475
31-Dec-01,1.4543
1-Jan-02,ND
2-Jan-02,1.4451
3-Jan-02,1.44
4-Jan-02,1.4455
7-Jan-02,1.4385
8-Jan-02,1.4426
9-Jan-02,1.4373
10-Jan-02,1.4433
11-Jan-02,1.4448
14-Jan-02,1.4482
15-Jan-02,1.445
16-Jan-02,1.4375
17-Jan-02,1.4348
18-Jan-02,1.4365
21-Jan-02,ND
22-Jan-02,1.4295
23-Jan-02,1.4273
24-Jan-02,1.4229
25-Jan-02,1.4096
28-Jan-02,1.4074
29-Jan-02,1.4132
30-Jan-02,1.416
31-Jan-02,1.412
1-Feb-02,1.4158
4-Feb-02,1.4197
5-Feb-02,1.417
6-Feb-02,1.4138
7-Feb-02,1.4117
8-Feb-02,1.4176
11-Feb-02,1.4237
12-Feb-02,1.4322
13-Feb-02,1.4298
14-Feb-02,1.4285
15-Feb-02,1.4315
18-Feb-02,ND
19-Feb-02,1.4302
20-Feb-02,1.4269
21-Feb-02,1.4253
22-Feb-02,1.4301
25-Feb-02,1.4263
26-Feb-02,1.4225
27-Feb-02,1.4165
28-Feb-02,1.4129
1-Mar-02,1.419
4-Mar-02,1.4228
5-Mar-02,1.4212
6-Mar-02,1.4238
7-Mar-02,1.4245
8-Mar-02,1.4227
11-Mar-02,1.422
12-Mar-02,1.4146
13-Mar-02,1.4157
14-Mar-02,1.42
15-Mar-02,1.4238
18-Mar-02,1.4256
19-Mar-02,1.4213
20-Mar-02,1.426
21-Mar-02,1.4287
22-Mar-02,1.4263
25-Mar-02,1.4255
26-Mar-02,1.427
27-Mar-02,1.4238
28-Mar-02,1.4242
29-Mar-02,1.425
1-Apr-02,1.4407
2-Apr-02,1.4358
3-Apr-02,1.435
4-Apr-02,1.4349
5-Apr-02,1.435
8-Apr-02,1.431
9-Apr-02,1.4345
10-Apr-02,1.4365
11-Apr-02,1.4382
12-Apr-02,1.4371
15-Apr-02,1.4372
16-Apr-02,1.4396
17-Apr-02,1.4438
18-Apr-02,1.4479
19-Apr-02,1.4472
22-Apr-02,1.4488
23-Apr-02,1.4486
24-Apr-02,1.448
25-Apr-02,1.454
26-Apr-02,1.4545
29-Apr-02,1.4592
30-Apr-02,1.4565
1-May-02,1.4621
2-May-02,1.4645
3-May-02,1.4664
6-May-02,1.4676
7-May-02,1.4675
8-May-02,1.4533
9-May-02,1.4585
10-May-02,1.4606
13-May-02,1.4588
14-May-02,1.4474
15-May-02,1.4558
16-May-02,1.4567
17-May-02,1.4602
20-May-02,1.4588
21-May-02,1.4568
22-May-02,1.4589
23-May-02,1.4545
24-May-02,1.4577
27-May-02,ND
28-May-02,1.4618
29-May-02,1.46
30-May-02,1.4655
31-May-02,1.4625
3-Jun-02,1.4622
4-Jun-02,1.4605
5-Jun-02,1.4574
6-Jun-02,1.4593
7-Jun-02,1.4604
10-Jun-02,1.461
11-Jun-02,1.4686
12-Jun-02,1.4705
13-Jun-02,1.4709
14-Jun-02,1.4735
17-Jun-02,1.4782
18-Jun-02,1.4868
19-Jun-02,1.4873
20-Jun-02,1.4982
21-Jun-02,1.4987
24-Jun-02,1.5056
25-Jun-02,1.4999
26-Jun-02,1.5217
27-Jun-02,1.5285
28-Jun-02,1.5245
1-Jul-02,1.5307
2-Jul-02,1.53
3-Jul-02,1.5268
4-Jul-02,ND
5-Jul-02,1.5206
8-Jul-02,1.5348
9-Jul-02,1.5465
10-Jul-02,1.5483
11-Jul-02,1.5545
12-Jul-02,1.55
15-Jul-02,1.5656
16-Jul-02,1.5693
17-Jul-02,1.5682
18-Jul-02,1.5685
19-Jul-02,1.5785
22-Jul-02,1.58
23-Jul-02,1.5657
24-Jul-02,1.5745
25-Jul-02,1.5754
26-Jul-02,1.5635
29-Jul-02,1.557
30-Jul-02,1.5725
31-Jul-02,1.5625
1-Aug-02,1.5578
2-Aug-02,1.5709
5-Aug-02,1.5665
6-Aug-02,1.5382
7-Aug-02,1.5354
8-Aug-02,1.5278
9-Aug-02,1.5235
12-Aug-02,1.5317
13-Aug-02,1.531
14-Aug-02,1.5442
15-Aug-02,1.536
16-Aug-02,1.5372
19-Aug-02,1.5272
20-Aug-02,1.5266
21-Aug-02,1.5295
22-Aug-02,1.5192
23-Aug-02,1.5215
26-Aug-02,1.5236
27-Aug-02,1.5305
28-Aug-02,1.5363
29-Aug-02,1.5484
30-Aug-02,1.5476
2-Sep-02,ND
3-Sep-02,1.5625
4-Sep-02,1.5642
5-Sep-02,1.566
6-Sep-02,1.5597
9-Sep-02,1.5585
10-Sep-02,1.5544
11-Sep-02,1.5492
12-Sep-02,1.5549
13-Sep-02,1.5585
16-Sep-02,1.544
17-Sep-02,1.5343
18-Sep-02,1.5525
19-Sep-02,1.5545
20-Sep-02,1.5558
23-Sep-02,1.5575
24-Sep-02,1.5565
25-Sep-02,1.5625
26-Sep-02,1.5563
27-Sep-02,1.5548
30-Sep-02,1.57
1-Oct-02,1.5708
2-Oct-02,1.5655
3-Oct-02,1.5704
4-Oct-02,1.569
7-Oct-02,1.5643
8-Oct-02,1.5569
9-Oct-02,1.5595
10-Oct-02,1.5625
11-Oct-02,1.5605
14-Oct-02,ND
15-Oct-02,1.5542
16-Oct-02,1.5543
17-Oct-02,1.5525
18-Oct-02,1.5461
21-Oct-02,1.5418
22-Oct-02,1.5463
23-Oct-02,1.5499
24-Oct-02,1.5478
25-Oct-02,1.5533
28-Oct-02,1.5602
29-Oct-02,1.5585
30-Oct-02,1.5568
31-Oct-02,1.563
1-Nov-02,1.5638
4-Nov-02,1.5545
5-Nov-02,1.5625
6-Nov-02,1.559
7-Nov-02,1.5796
8-Nov-02,1.5915
11-Nov-02,ND
12-Nov-02,1.5879
13-Nov-02,1.585
14-Nov-02,1.5788
15-Nov-02,1.579
18-Nov-02,1.579
19-Nov-02,1.588
20-Nov-02,1.575
21-Nov-02,1.5753
22-Nov-02,1.5778
25-Nov-02,1.5667
26-Nov-02,1.5485
27-Nov-02,1.544
28-Nov-02,ND
29-Nov-02,1.5553
2-Dec-02,1.5555
3-Dec-02,1.5687
4-Dec-02,1.5682
5-Dec-02,1.5708
6-Dec-02,1.573
9-Dec-02,1.5785
10-Dec-02,1.5699
11-Dec-02,1.5744
12-Dec-02,1.58
13-Dec-02,1.5896
16-Dec-02,1.5905
17-Dec-02,1.5963
18-Dec-02,1.6
19-Dec-02,1.5986
20-Dec-02,1.6015
23-Dec-02,1.587
24-Dec-02,1.5958
25-Dec-02,ND
26-Dec-02,1.5978
27-Dec-02,1.6022
30-Dec-02,1.6044
31-Dec-02,1.6095
1-Jan-03,ND
2-Jan-03,1.5975
3-Jan-03,1.6045
6-Jan-03,1.608
7-Jan-03,1.6055
8-Jan-03,1.6063
9-Jan-03,1.6035
10-Jan-03,1.6079
13-Jan-03,1.603
14-Jan-03,1.607
15-Jan-03,1.6029
16-Jan-03,1.6073
17-Jan-03,1.6173
20-Jan-03,ND
21-Jan-03,1.6123
22-Jan-03,1.6162
23-Jan-03,1.6233
24-Jan-03,1.632
27-Jan-03,1.6351
28-Jan-03,1.64
29-Jan-03,1.6457
30-Jan-03,1.6482
31-Jan-03,1.6448
3-Feb-03,1.6405
4-Feb-03,1.648
5-Feb-03,1.6455
6-Feb-03,1.6354
7-Feb-03,1.6284
10-Feb-03,1.6275
11-Feb-03,1.6193
12-Feb-03,1.6155
13-Feb-03,1.6209
14-Feb-03,1.6105
17-Feb-03,ND
18-Feb-03,1.5921
19-Feb-03,1.5957
20-Feb-03,1.5925
21-Feb-03,1.5864
24-Feb-03,1.586
25-Feb-03,1.5727
26-Feb-03,1.5806
27-Feb-03,1.5798
28-Feb-03,1.5737
3-Mar-03,1.5755
4-Mar-03,1.582
5-Mar-03,1.6003
6-Mar-03,1.6049
7-Mar-03,1.602
10-Mar-03,1.6007
11-Mar-03,1.6038
12-Mar-03,1.6129
13-Mar-03,1.6057
14-Mar-03,1.5821
17-Mar-03,1.5682
18-Mar-03,1.5624
19-Mar-03,1.5648
20-Mar-03,1.567
21-Mar-03,1.566
24-Mar-03,1.5748
25-Mar-03,1.5707
26-Mar-03,1.5742
27-Mar-03,1.5676
28-Mar-03,1.5673
31-Mar-03,1.579
1-Apr-03,1.5767
2-Apr-03,1.5659
3-Apr-03,1.5718
4-Apr-03,1.5597
7-Apr-03,1.55
8-Apr-03,1.5507
9-Apr-03,1.5562
10-Apr-03,1.5719
11-Apr-03,1.5713
14-Apr-03,1.5713
15-Apr-03,1.5705
16-Apr-03,1.574
17-Apr-03,1.5748
18-Apr-03,1.5733
21-Apr-03,1.5592
22-Apr-03,1.5768
23-Apr-03,1.5815
24-Apr-03,1.5971
25-Apr-03,1.5915
28-Apr-03,1.5906
29-Apr-03,1.5904
30-Apr-03,1.6
1-May-03,1.6103
2-May-03,1.602
5-May-03,1.606
6-May-03,1.614
7-May-03,1.593
8-May-03,1.6034
9-May-03,1.6045
12-May-03,1.6095
13-May-03,1.6092
14-May-03,1.6163
15-May-03,1.6262
16-May-03,1.6241
19-May-03,1.6352
20-May-03,1.6393
21-May-03,1.6415
22-May-03,1.6346
23-May-03,1.6376
26-May-03,ND
