## https://weather-warehouse.com/WeatherHistory/PastWeatherData_AnnArborUnivOfMi_AnnArbor_MI_January.html
## accessed by ELI on Nov 2, 2015
##
## Full column descriptions:
## Lowest Temperature (F)
## Highest Temperature (F)
## Warmest Minimum Temperature (F)
## Coldest Maximum Temperature (F)
## Average Minimum Temperature (F)
## Average Maximum Temperature (F)
## Mean Temperature (F)	Total 
## Precipitation (In)
## Total Snowfall (In)
## Max 24hr Precipitation (In)
## Max 24hr Snowfall (In)
Year	Low	High	Hi_min	Lo_max	Avg_min	Avg_max	Mean	Precip	Snow	Hi_Pricip	Hi_Snow
1972	-14	49	31	2	15.5	31.3	23.4	1.14	8.00	0.27	2.50
1973	6	57	41	19	22.0	36.5	29.2	1.24	2.00	0.56	1.00
1974	1	53	35	17	20.8	33.5	27.2	2.37	10.80	0.61	4.00
1975	1	55	34	17	22.0	35.1	28.5	2.99	2.80	0.78	1.10
1976	-10	39	27	15	11.5	26.7	19.1	1.79	17.80	0.41	3.80
1977	-10	30	24	6	4.6	20.1	12.3	1.10	15.20	0.58	7.10
1978	-3	34	29	15	12.5	25.1	18.8	3.51	34.30	1.65	11.60
1979	-11	34	28	7	12.0	24.0	18.0	2.25	17.10	0.69	5.10
1980	5	52	37	17	18.0	30.6	24.3	0.94	6.20	0.25	1.00
1981	-12	46	36	8	12.2	27.6	19.9	0.62	8.40	0.17	1.80
1982	-15	43	26	-2	8.8	23.7	16.3	2.96	16.50	0.88	5.90
1983	2	45	34	16	21.5	33.0	27.3	1.23	3.90	0.30	1.40
1984	-17	40	27	3	11.2	24.9	18.0	0.96	10.50	0.25	2.70
1985	-16	34	29	7	13.6	26.1	19.8	2.90	21.40	1.42	3.60
1986	-6	49	39	15	17.2	32.0	24.6	1.25	10.20	0.32	2.40
1987	-4	45	33	10	19.6	31.7	25.6	2.35	24.40	0.69	6.80
1988	-5	50	45	9	15.0	30.7	22.9	1.37	9.10	0.27	3.40
1989	4	59	36	20	24.1	39.5	31.8	2.11	8.00	0.77	4.00
1990	19	52	43	28	26.8	39.4	33.1	2.03	6.40	0.47	2.40
1991	0	45	33	17	17.3	31.0	24.1	1.74	11.80	0.36	2.50
1992	-1	42	35	12	21.1	33.1	27.1	3.00	22.10	1.54	9.40
1993	5	53	43	23	21.6	33.7	27.7	4.37	15.60	1.44	7.40
1994	-22	40	34	-5	8.6	24.5	16.5	3.28	23.00	1.00	6.90
1995	0	60	46	16	21.2	32.6	26.9	3.66	24.20	0.93	5.60
1996	0	59	40	14	15.7	31.7	23.7	2.34	11.00	0.65	3.00
1997	-7	59	41	7	14.1	30.4	22.2	2.70	25.00	0.39	3.60
1998	8	54	50	24	26.7	36.8	31.8	3.32	10.70	0.73	3.60
1999	-9	54	40	8	14.9	30.4	22.7	5.01	36.00	0.97	10.10
2000	-2	56	37	14	16.1	32.2	24.1	1.96	16.10	0.33	4.90
2001	1	43	33	22	20.3	32.0	26.1	1.32	6.70	0.43	2.20
2002	11	55	38	27	25.5	39.3	32.4	3.41	25.40	1.57	7.60
2003	-5	47	36	17	13.9	26.5	20.2	0.93	13.80	0.17	2.10
2004	-6	55	41	13	11.6	26.3	19.0	2.22	23.40	0.45	4.50
2005	-3	56	33	14	16.0	31.4	23.7	4.46	29.10	0.72	9.30
2006	18	53	41	30	29.4	40.5	34.9	4.32	8.40	0.87	4.70
2007	5	50	43	22	23.3	35.0	29.1	4.31	10.30	1.00	2.00
2008	3	62	51	14	21.3	34.7	28.0	4.26	22.70	1.20	11.40
2009	-10	39	26	9	10.8	24.9	17.9	2.16	27.00	0.50	6.60
2010	3	47	33	19	18.9	30.3	24.6	1.10	10.50	0.26	2.80
2011	1	52	49	16	16.1	28.2	22.1	2.07	19.80	0.41	4.00
2012	2	55	36	16	23.3	37.1	30.2	3.06	13.90	0.91	2.20
2013	-3	60	49	11	21.1	36.3	28.7	3.81	15.60	0.73	4.50
2014	-14	43	34	4	9.3	24.7	17.0	3.48	37.80	0.56	5.60
## 2015	-3	41	33	6	14.6	28.2	21.4	1.81	15.60	0.52	2.90
