YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2009-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.108,1,0.288,2,0.16,0
2009-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.108,1,0.289,51,0.16,0
2009-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.108,1,0.291,51,0.16,0
2009-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.108,1,0.292,51,0.16,0
2009-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.108,1,0.293,51,0.16,0
2009-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.108,1,0.294,51,0.16,0
2009-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.108,1,0.295,51,0.16,0
2009-01-01,8:00,87.4,121.6,36,790,1,0,8,0,0,15,1,0,8,8,25,4,28,8,25,9,10,31,16,7,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.139,1,0.297,51,0.16,0
2009-01-01,9:00,80.1,129.4,243,1415,57,0,8,2,0,15,57,0,8,73,25,98,28,56,25,109,10,341,16,51,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.139,1,0.298,51,0.16,0
2009-01-01,10:00,71.7,140.7,443,1415,76,0,8,0,0,15,76,0,8,112,24,31,27,102,24,254,10,567,16,76,10,-9900,99,-9900,99,-9900,99,1.7,3,0.108,1,0.139,1,0.299,51,0.16,0
2009-01-01,11:00,65.3,153.8,590,1415,76,0,8,0,0,15,76,0,8,262,25,195,28,181,25,375,10,673,16,94,10,-9900,99,-9900,99,-9900,99,1.8,51,0.108,1,0.139,1,0.300,51,0.16,0
2009-01-01,12:00,61.5,168.7,675,1415,311,0,8,184,0,15,223,0,8,365,25,244,28,249,25,447,10,719,16,104,10,-9900,99,-9900,99,-9900,99,1.9,51,0.108,1,0.139,1,0.302,51,0.16,0
2009-01-01,13:00,60.8,184.4,691,1415,480,0,8,652,0,15,162,0,8,402,25,351,28,230,25,460,10,725,16,106,10,-9900,99,-9900,99,-9900,99,2.0,3,0.108,1,0.139,1,0.303,51,0.16,0
2009-01-01,14:00,63.3,199.7,637,1415,416,0,8,663,0,15,118,0,8,352,24,472,27,139,24,412,10,694,16,100,10,-9900,99,-9900,99,-9900,99,2.2,51,0.108,1,0.139,1,0.304,51,0.16,0
2009-01-01,15:00,68.6,213.7,516,1415,329,0,8,645,0,15,93,0,8,219,24,305,27,108,24,310,10,616,16,85,10,-9900,99,-9900,99,-9900,99,2.4,51,0.108,1,0.139,1,0.306,51,0.16,0
