YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.108,1,0.303,2,0.16,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,51,0.108,1,0.108,1,0.303,51,0.16,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,51,0.108,1,0.108,1,0.303,51,0.16,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.108,1,0.108,1,0.303,51,0.16,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,51,0.108,1,0.108,1,0.302,51,0.16,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,51,0.108,1,0.108,1,0.302,51,0.16,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.108,1,0.302,51,0.16,0
2010-01-01,8:00,87.4,121.7,36,790,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,5,24,0,27,5,24,12,10,130,16,6,10,-9900,99,-9900,99,-9900,99,2.6,51,0.108,1,0.052,1,0.302,51,0.16,0
2010-01-01,9:00,80.1,129.4,243,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,42,24,0,27,42,24,126,10,544,16,32,10,-9900,99,-9900,99,-9900,99,2.6,51,0.108,1,0.052,1,0.302,51,0.16,0
2010-01-01,10:00,71.7,140.7,443,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,183,24,131,27,142,24,275,10,732,16,46,10,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.052,1,0.302,51,0.16,0
2010-01-01,11:00,65.3,153.9,590,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,124,24,0,27,124,24,396,10,816,16,56,10,-9900,99,-9900,99,-9900,99,2.5,51,0.108,1,0.052,1,0.302,51,0.16,0
2010-01-01,12:00,61.5,168.7,674,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,144,24,0,27,144,24,468,10,852,16,62,10,-9900,99,-9900,99,-9900,99,2.4,51,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,13:00,60.8,184.4,690,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,148,24,0,27,148,24,482,10,860,16,63,10,-9900,99,-9900,99,-9900,99,2.4,3,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,14:00,63.3,199.7,636,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,135,24,0,27,135,24,437,10,839,16,59,10,-9900,99,-9900,99,-9900,99,2.3,51,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,15:00,68.6,213.7,516,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,105,24,0,27,105,24,336,10,783,16,51,10,-9900,99,-9900,99,-9900,99,2.2,51,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,16:00,76.2,225.8,338,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,63,24,0,27,63,24,195,10,655,16,39,10,-9900,99,-9900,99,-9900,99,2.1,3,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,17:00,85.2,236.2,117,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,17,24,0,27,17,24,49,10,341,16,20,10,-9900,99,-9900,99,-9900,99,2.1,51,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,18:00,89.9,240.9,0,12,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,51,0.108,1,0.052,1,0.301,51,0.16,0
2010-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,51,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,51,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,3,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,51,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,51,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.052,1,0.300,51,0.16,0
2010-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.052,1,0.299,51,0.16,0
2010-01-02,8:00,87.4,121.5,36,790,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,4,25,0,28,4,25,9,10,49,16,7,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,9:00,80.1,129.3,243,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,29,25,0,28,29,25,114,10,397,16,46,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,10:00,71.7,140.6,443,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,63,25,0,28,63,25,262,10,619,16,68,10,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,11:00,65.3,153.7,591,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,93,24,0,27,93,24,385,10,721,16,84,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,12:00,61.5,168.5,676,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,111,25,0,28,111,25,459,10,766,16,93,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,13:00,60.7,184.3,692,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,114,24,0,27,114,24,473,10,774,16,94,10,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,14:00,63.2,199.7,639,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,224,24,64,27,196,24,426,10,748,16,89,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.298,51,0.16,0
2010-01-02,15:00,68.5,213.6,519,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,94,24,0,27,94,24,324,10,678,16,76,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,16:00,76.0,225.7,341,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,53,24,0,27,53,24,183,10,524,16,57,10,-9900,99,-9900,99,-9900,99,1.4,3,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,17:00,85.1,236.2,121,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,20,24,0,27,20,24,43,10,188,16,27,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,18:00,89.9,241.0,0,35,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,24,0,27,0,24,0,10,1,16,0,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,51,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-02,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,3,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-02,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-02,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.112,1,0.296,2,0.16,0
2010-01-03,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.112,1,0.296,51,0.16,0
2010-01-03,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.112,1,0.297,51,0.16,0
2010-01-03,8:00,87.4,121.4,36,790,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,7,24,5,27,7,24,10,10,53,16,7,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.107,1,0.297,51,0.16,0
2010-01-03,9:00,80.1,129.1,243,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,55,24,33,27,49,24,116,10,410,16,45,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.107,1,0.297,51,0.16,0
2010-01-03,10:00,71.7,140.4,444,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,190,24,150,27,142,24,264,10,631,16,66,10,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.107,1,0.297,51,0.16,0
2010-01-03,11:00,65.2,153.6,592,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,102,24,68,27,73,24,388,10,732,16,82,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.107,1,0.297,51,0.16,0
