YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2007-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.108,1,0.108,1,0.287,2,0.16,0
2007-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.108,1,0.108,1,0.286,51,0.16,0
2007-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.108,1,0.286,51,0.16,0
2007-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.108,1,0.285,51,0.16,0
2007-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.108,1,0.284,51,0.16,0
2007-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.108,1,0.108,1,0.284,51,0.16,0
2007-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.108,1,0.108,1,0.283,51,0.16,0
2007-01-01,8:00,87.4,121.7,36,790,2,0,8,57,0,15,0,0,8,13,25,106,28,8,25,13,10,139,16,6,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.050,1,0.282,51,0.16,0
2007-01-01,9:00,80.1,129.5,244,1415,121,0,8,349,0,15,61,0,8,133,25,544,28,40,25,129,10,566,16,32,10,-9900,99,-9900,99,-9900,99,1.5,51,0.108,1,0.050,1,0.282,51,0.16,0
2007-01-01,10:00,71.7,140.8,443,1415,266,0,8,544,0,15,96,0,8,256,24,618,27,63,24,281,10,754,16,45,10,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.050,1,0.281,51,0.16,0
2007-01-01,11:00,65.4,153.9,590,1415,366,0,8,567,0,15,130,0,8,397,25,622,28,138,25,404,10,837,16,55,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.050,1,0.280,51,0.16,0
2007-01-01,12:00,61.5,168.7,674,1415,421,0,8,542,0,15,163,0,8,435,24,690,27,106,24,476,10,872,16,61,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.050,1,0.280,51,0.16,0
2007-01-01,13:00,60.8,184.4,690,1415,442,0,8,606,0,15,147,0,8,459,24,620,27,156,24,490,10,878,16,62,10,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.050,1,0.279,51,0.16,0
2007-01-01,14:00,63.3,199.8,635,1415,383,0,8,497,0,15,160,0,8,295,24,364,27,132,24,443,10,857,16,58,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.050,1,0.278,51,0.16,0
2007-01-01,15:00,68.6,213.7,515,1415,279,0,8,411,0,15,129,0,8,284,24,400,27,138,24,341,10,799,16,50,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.050,1,0.278,51,0.16,0
2007-01-01,16:00,76.2,225.8,337,1415,189,0,8,353,0,15,105,0,8,77,24,149,27,41,24,198,10,671,16,38,10,-9900,99,-9900,99,-9900,99,1.5,3,0.108,1,0.050,1,0.277,51,0.16,0
2007-01-01,17:00,85.3,236.2,116,1415,34,1,8,173,1,15,19,1,8,22,24,31,27,19,24,49,10,353,16,20,10,-9900,99,-9900,99,-9900,99,1.6,51,0.108,1,0.050,1,0.276,51,0.16,0
2007-01-01,18:00,90.0,240.9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,51,0.108,1,0.050,1,0.276,51,0.16,0
2007-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,3,0.108,1,0.050,1,0.275,51,0.16,0
2007-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,51,0.108,1,0.050,1,0.274,51,0.16,0
