YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2004-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.108,1,0.264,1,0.16,0
2004-01-01,8:00,87.4,121.7,36,790,1,0,8,0,0,15,1,0,8,5,10,0,16,5,10,10,10,67,16,7,10,-9900,99,-9900,99,-9900,99,2.6,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,9:00,80.1,129.5,244,1415,23,0,8,0,0,15,23,0,8,36,10,0,16,36,10,118,10,438,16,42,10,-9900,99,-9900,99,-9900,99,2.5,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,10:00,71.8,140.8,443,1415,49,0,8,0,0,15,49,0,8,79,10,0,16,79,10,265,10,650,16,61,10,-9900,99,-9900,99,-9900,99,2.4,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,11:00,65.4,153.9,590,1415,67,0,8,0,0,15,67,0,8,114,10,0,16,114,10,386,10,746,16,75,10,-9900,99,-9900,99,-9900,99,2.3,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,12:00,61.6,168.8,674,1415,79,0,8,0,0,15,79,0,8,135,10,0,16,135,10,458,10,789,16,83,10,-9900,99,-9900,99,-9900,99,2.2,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,13:00,60.9,184.4,689,1415,87,0,8,0,0,15,87,0,8,139,10,0,16,139,10,472,10,797,16,84,10,-9900,99,-9900,99,-9900,99,2.2,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,14:00,63.3,199.8,635,1415,77,0,8,0,0,15,77,0,8,264,10,138,16,203,10,427,10,775,16,79,10,-9900,99,-9900,99,-9900,99,1.9,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,15:00,68.7,213.7,514,1415,69,0,8,0,0,15,69,0,8,204,10,225,16,122,10,327,10,711,16,68,10,-9900,99,-9900,99,-9900,99,1.6,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,16:00,76.2,225.8,336,1415,82,0,8,0,0,15,82,0,8,55,10,0,16,55,10,186,10,566,16,51,10,-9900,99,-9900,99,-9900,99,1.4,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,17:00,85.3,236.2,116,1415,14,1,8,0,1,15,14,1,8,36,10,25,16,34,10,43,10,224,16,25,10,-9900,99,-9900,99,-9900,99,1.3,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,18:00,90.0,240.9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.108,1,0.093,1,0.264,1,0.16,0
2004-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.108,1,0.093,1,0.264,1,0.16,0
