date,oil_price,cpi_value
2003-01-01,42.89,182.6
2003-02-01,46.34,183.6
2003-03-01,43.08,183.9
2003-04-01,36.36,183.2
2003-05-01,36.27,182.9
2003-06-01,39.57,183.1
2003-07-01,39.56,183.7
2003-08-01,40.47,184.5
2003-09-01,36.13,185.1
2003-10-01,38.79,184.9
2003-11-01,39.86,185
2003-12-01,41.25,185.5
2004-01-01,43.76,186.3
2004-02-01,44.12,186.7
2004-03-01,46.39,187.1
2004-04-01,46.16,187.4
2004-05-01,50.39,188.2
2004-06-01,47.41,188.9
2004-07-01,50.82,189.1
2004-08-01,56.09,189.2
2004-09-01,57.25,189.8
2004-10-01,65.83,190.8
2004-11-01,59.99,191.7
2004-12-01,53.86,191.7
2005-01-01,58.08,191.6
2005-02-01,59.15,192.4
2005-03-01,66.48,193.1
2005-04-01,64.44,193.7
2005-05-01,60.64,193.6
2005-06-01,68.41,193.7
2005-07-01,71.03,194.9
2005-08-01,78.22,196.1
2005-09-01,78.03,198.8
2005-10-01,74.03,199.1
2005-11-01,69.79,198.1
2005-12-01,71.43,198.1
2006-01-01,78.15,199.3
2006-02-01,73.34,199.4
2006-03-01,74.47,199.7
2006-04-01,81.82,200.7
2006-05-01,82.86,201.3
2006-06-01,82.74,201.8
2006-07-01,86.46,202.9
2006-08-01,84.74,203.8
2006-09-01,74.47,202.8
2006-10-01,69.01,201.9
2006-11-01,69.7,202
2006-12-01,72.7,203.1
2007-01-01,63.79,203.437
2007-02-01,68.86,204.226
2007-03-01,69.77,205.288
2007-04-01,73.18,205.904
2007-05-01,72.15,206.755
2007-06-01,76.59,207.234
2007-07-01,84.27,207.603
2007-08-01,82.38,207.667
2007-09-01,90.64,208.547
2007-10-01,97.58,209.19
2007-11-01,106.45,210.834
2007-12-01,103.29,211.445
2008-01-01,104.2,212.174
2008-02-01,106.51,212.687
2008-03-01,116.96,213.448
2008-04-01,123.94,213.942
2008-05-01,136.93,215.208
2008-06-01,144.78,217.463
2008-07-01,143.45,219.016
2008-08-01,125.94,218.69
2008-09-01,112.32,218.877
2008-10-01,83.7,216.995
2008-11-01,63.93,213.153
2008-12-01,46.15,211.398
2009-01-01,46.75,211.933
2009-02-01,43.66,212.705
2009-03-01,53.35,212.495
2009-04-01,55.22,212.709
2009-05-01,65.43,213.022
2009-06-01,76.44,214.79
2009-07-01,70.37,214.726
2009-08-01,77.88,215.445
2009-09-01,76.06,215.861
2009-10-01,82.95,216.509
2009-11-01,85.34,217.234
2009-12-01,81.36,217.347
2010-01-01,85.42,217.488
2010-02-01,83.37,217.281
2010-03-01,88.31,217.353
2010-04-01,91.66,217.403
2010-05-01,80.04,217.29
2010-06-01,81.75,217.199
2010-07-01,82.86,217.605
2010-08-01,83.2,217.923
2010-09-01,81.56,218.275
2010-10-01,88.53,219.035
2010-11-01,90.96,219.59
2010-12-01,96.07,220.472
2011-01-01,96.04,221.187
2011-02-01,95.76,221.898
2011-03-01,108.91,223.046
2011-04-01,115.76,224.093
2011-05-01,105.32,224.806
2011-06-01,99.32,224.806
2011-07-01,101.6,225.395
2011-08-01,92.81,226.106
