"logLik","logLik_se","b1","b2","b3","b4","b5","b6","b7","psi","rho","tau","sigma_dem","sigma_env","SO_0","IO_0","delta","K","SB1_0","SB2_0","SB3_0","SB4_0","SB5_0","SB6_0"
-816.104988989858,0.138032941172103,6.30473118231426,5.23477641921134,5.89645227095369,4.18984271423475,4.05763106616097,6.74358483501601,4.06788026360558,3.45026952806829e-06,0.475408030815149,0.0130859391141044,0.0021898895739477,0.792139971096263,0.962891543112608,0.00326478662075032,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.742721203559,0.0729276332357765,6.61444670668036,4.90158675470639,5.95532255110584,3.99718142570988,4.44710668918354,6.33496857234991,4.45848815768997,5.52713984050431e-06,0.56620608253001,0.0139819557745149,0.00354912166745893,0.77539137309044,0.893566614291749,0.00213019650712571,0.016666667,7,13206,13206,13206,13206,13206,13206
-2102.39357042658,80.4869437369948,6.23747528145063,5.07292263853971,6.24065763562626,3.69758589578509,4.60280922998546,6.26251796841016,4.66903002104595,8.41268347714013e-06,0.584718465703715,0.00725259498921002,0.00118651239826066,0.783650649215582,0.947504867487994,0.000786152419256911,0.016666667,7,13206,13206,13206,13206,13206,13206
-2313.38183679209,0.914392688954092,6.00435307080601,5.21075279266756,5.82556399169205,3.88701433145673,4.77219877901653,5.74043866535701,5.03923751925527,5.32110152997348e-06,0.683583030765145,0.0397946280104856,0.00218241042799301,0.778778129414256,0.976574019996762,0.000682237103577875,0.016666667,7,13206,13206,13206,13206,13206,13206
-814.213647628822,0.185950485044298,6.45385205312152,4.74313259697267,6.05750440875745,4.17045049325314,4.05490971440846,6.56444727551049,4.40300712380489,1.61151546234544e-06,0.793804455919106,0.0154384835506219,0.00133114829375736,0.777453171378199,0.960791011417952,0.00179293008937369,0.016666667,7,13206,13206,13206,13206,13206,13206
-812.614384567746,0.105453324205002,6.12106067543239,5.07886581745768,6.1165383117251,3.54544903061804,4.7619209569348,5.93167242405829,4.74473716385463,1.02603283658293e-05,0.82275853370331,0.0150806847786595,0.00203269277638764,0.73926574635723,0.901263675598025,0.000513746011840578,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.541380857265,0.0899126319970865,6.4189354919513,4.81428228003047,5.94141521855607,3.98663532926198,4.42983335627884,6.4635759539337,4.43771738832946,4.55050842046054e-06,0.709323509717264,0.0526022626194146,0.00200915054139254,0.802285361764888,0.940445888750054,0.000803617525782248,0.016666667,7,13206,13206,13206,13206,13206,13206
-812.510112042028,0.146098558021361,6.06514040553138,5.11095274028766,5.98705384500819,3.71458151484752,4.56669746422638,6.41743073910746,4.39454250658338,3.84013244536666e-06,0.817596416643637,0.0124016707128367,0.00213805723113021,0.760427724770496,0.971920603203835,0.000823558695175447,0.016666667,7,13206,13206,13206,13206,13206,13206
-2378.69444264136,13.7133221433763,5.80318607987175,5.33971133165663,5.78801610449928,3.80096791051434,4.74972417446897,5.96590255852345,5.0842711277041,4.77139610151772e-06,0.809570306054671,0.0220640393185982,0.00201772688182373,0.74718544529151,0.987042451953545,0.00164470636928613,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.988300312899,0.218800583892674,5.79150035292162,5.3460565774229,5.8182261740841,4.14677057815379,4.08562021014933,6.19908311123931,4.73322024312515,6.35324549466005e-06,0.604088421603764,0.0262123653096707,0.0015269635576698,0.779825962766123,0.928117414499022,0.00138411951073991,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.014021176897,0.146829823337981,6.03236018664309,5.37817543302031,5.44141995854098,4.38460181870591,4.27884496242618,6.14459527251275,4.73921762107333,3.23483395052408e-06,0.688585894039244,0.0274879313546874,0.00250548712099739,0.768877426159212,0.927280110949775,0.00130395459533692,0.016666667,7,13206,13206,13206,13206,13206,13206
-812.539436952933,0.14818730424072,5.81843892810962,5.37604641799406,5.77449384275025,4.12048838257682,4.55514222126101,6.05030397525914,5.09100322458101,5.71949391791436e-06,0.794907868016048,0.0250486110297484,0.00824790608817635,0.74970620881855,0.963312606491653,0.00115300494148329,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.655142331499,0.0858725554441382,5.83385885090592,5.27027718223578,5.78510712843598,3.75092980720358,4.72263947113585,5.86033998110288,4.81989775918794,1.11412770907573e-05,0.803234029024349,0.0106387438035135,0.00179978117184824,0.802751207031418,0.971780540730759,0.00147135110860614,0.016666667,7,13206,13206,13206,13206,13206,13206
-811.654025784381,0.14408872689946,6.07857230706974,5.48533677656622,5.57940652454631,4.12006666995584,4.43964168597477,6.26134996983822,4.6239621596201,1.80525375019655e-06,0.729944931812738,0.0117885195729577,0.00146126570686303,0.759295767985014,0.984873987915116,0.000618132437518185,0.016666667,7,13206,13206,13206,13206,13206,13206
-812.545904839331,0.120131400684657,6.58832419365752,4.86840714558067,6.07587511529875,3.72283927445019,4.56498099276817,6.41163462787916,4.45055805724699,3.82071665711975e-06,0.711605514830531,0.0140473886133275,0.00344716832392984,0.777010143007919,0.959903823749923,0.00094591083429931,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.670374923147,0.119512215033982,6.09825628062207,5.08706748963974,5.83674691587,3.97996555481544,4.5857608369073,6.19236701629109,5.11094145761062,1.20893308733838e-05,0.685273762061919,0.0153059225595887,0.00492830860235785,0.751358292458432,0.980046891535319,0.00181308861880253,0.016666667,7,13206,13206,13206,13206,13206,13206
-812.947351737496,0.134228430126508,5.87914910685545,5.61037965460919,5.9411834979277,3.85003806324837,4.44994493638792,6.17879631448774,4.65041762494428,8.22388987168012e-06,0.82365640654611,0.0128730528349428,0.00542597079502205,0.751945776716635,0.953757170003894,0.000947796336437217,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.304818850081,0.0998555404826003,6.05143674667622,5.40409318267257,5.80495381614451,3.64035877847205,5.12164464790435,5.84269988006512,4.66418455674807,2.35719529704873e-06,0.709487806310643,0.0103800373802189,0.00497091460221054,0.777814346622641,0.977156551150583,0.000558516890395418,0.016666667,7,13206,13206,13206,13206,13206,13206
-814.234522637987,0.134595171176815,6.47342097944138,4.94231331796516,6.17255352067486,3.65585351705958,4.48459444013653,6.63720757051312,4.33160014873537,8.72288209666342e-06,0.467824885721042,0.0116533449877328,0.00297324559744523,0.781923927499884,0.97267399761979,0.00137184753609091,0.016666667,7,13206,13206,13206,13206,13206,13206
-813.330272312605,0.0783217925322303,6.21700353077575,5.27726455955303,5.93143062861985,3.93264388721557,4.55166706320548,6.41232734679396,4.37130304189653,1.55368466456094e-06,0.593856727725054,0.025079995774978,0.00261126960001071,0.776695044927627,0.934555226967269,0.00242370964645242,0.016666667,7,13206,13206,13206,13206,13206,13206
