1968,8696000
1969,8781000
1970,8881826
1971,8974186
1972,9028944
1973,9077956
1974,9117507
1975,9117668
1976,9129205
1977,9171110
1978,9217761
1979,9266268
1980,9262078
1981,9209287
1982,9115198
1983,9047754
1984,9049452
1985,9076293
1986,9127775
1987,9187481
1988,9217998
1989,9253295
1990,9295297
