Date,AMERICAN SHELLED CORN,AMERICAN SWEET CORN,AMERICAN SWEET CORN STEAMED PCK 1PC,AMERICAN SWEET CORN STEAMED PCK 2PC,APPLE FUJI,APPLE FUJI LOOSE,APPLE GOLDEN,APPLE KASHMIR,APPLE PACIFIC ROSE LOOSE,APPLE PACK,APPLE PINK LADY KG,APPLE RED DEL. MEDIUM,APPLE ROYAL GALA LOOSE,APPLE SHIMLA,APPLE VARIETY,BABY CORN PACK,BABY CORN PEELED PACK,BANANA FLOWER UNIT,BANANA KARPOORAVALLI,BANANA NENDRAN  - VWT,BANANA POOVAN,BANANA RAW PC,BANANA RED KG,BANANA ROBUSTA kg,BANANA STEM UNITS,BANANA YELAKKI 10-12PC VAR WT,BEANS BUSH,BEANS CLUSTER,BEANS CLUSTER kg,BEETROOT kg,BITTER GOURD,BLACK GRAPES SEEDLESS,BOTTLE GOURD LOOSE,BRINJAL LONG GREEN 250GM,BRINJAL LONG GREEN kg,BRINJAL LONG VIOLET 250GM,BRINJAL LONG VOILET kg,BRINJAL NAGPUR 250GM,BRINJAL NAGPUR kg,BRINJAL ROUND GREEN 250GM,BRINJAL ROUND VIOLET kg,BRINJAL STRIPPED(VARI) - 250 GMS PK,BRINJAL SUPHAL,BRINJAL VARI kg,BROCOLLI MEDIUM VWT,BUSH BEANS-LOOSE,CABBAGE,CABBAGE CHINESE (MEDIUM),CABBAGE RED,CABBAGE SANDOZE (MEDIUM),CAPSICUM BELL GREEN,CAPSICUM COLOURED,CARROT HILL PREMIUM,CARROT kg,CARROT PLAIN 500GM,CAULIFLOWER CUT PACK,CAULIFLOWER MEDIUM UNIT,CELERY PC,CHANNA WHITE STEAMED PCK,CHERRIES 200g,CHERRY FRESH PACK,CHERRY PACK.,CHILLI GREEN,CHILLI GREEN kg,CHOW CHOW-LOOSE,CHOW CHOW VWT,COCCINEA kg,COCONUT MEDIUM UNIT,COLACASIA,CORIANDER LEAF PC-KOL,CUCUMBER HYB ORGANIC,CUCUMBER HYBRID (MEDIUM) -VWT,CUCUMBER MALABAR,CUCUMBER PACK,CURRY LEAF UNIT,DATES RAW GOLDEN,DRUM STICK PC,FRESH TUTY FRUITY PACK,GARLIC 250 GMS,GARLIC BOLD,GARLIC CHINA,GARLIC HILL,GARLIC PEELED,GARLIC PKT,GARLIC PREMIUM PACK,GINGER (MANGO),GINGER PACK,GOOSEBERRY 250GM,GOOSEBERRY kg,GRAPES BANGALORE BLUE,GRAPES GREEN KG,GRAPES PANEER GULABI,GREEN ONION UNIT,GREEN PEAS PACK,GROUNDNUT PACK,GUAVA JAMA,JUMBO DEHYDRATED AMLA TREAT PACK 50g,JUMBO ROYAL DATES PACK 200g,JUMBO ROYAL DATES PACK 400g,KIWI,KNOL KHOL PLAIN-LOOSE,KNOOL KHOL,LADIES FINGER-OKHRA kg,LADY'S FINGER PACK,LEEK PC,LEMON PACK,LEMON PC,LETTUCE,LITCHI,MANGO ALPHONSO,MANGO BANGENPALLI,MANGO JAWAHAR PASAND,MANGO NEELAM,MANGO RAW LOOSE,MANGOSTEEN KG,MELODY MELON (MEDIUM),METHI UNIT,MINT LEAVES,MUSAMBI PREMIUM KG,MUSHROOM BUTTON 200GM,MUSK MELON KEERNI,MUSK MELON KEERNI KG,MUSK MELON KOREAN LARGE,ONION,ONION BULK PACK KG,ONION ECONOMY 1KG,ONION PREMIUM,ONION PREMIUM 1KG PK,ONION SAMBAR (PEELED),ONION SAMBAR PACK,ONION WHITE,ORANGE,ORANGE IMPORTED,ORANGE KINNOW,PALAK PC-KOL,PAPAYA kg,PAPAYA ORGANIC,PEAR CHINA,PEAR COUNTRY,PEARS COUNTRY MEDIUM 500GM,PINEAPPLE PC,PLUMS LOOSE,POMEGRANATE KABUL PREMIUM KG,POMOGRANATE - KABUL (MEDIUM),POOJA ITEM PACK 1,POTATO,POTATO BABY 500 GMS,POTATO BABY PC,POTATO LOW SUGAR PCK,POTATO PREMIUM,PUMKIN DISCO,PUMPKIN SLICE VWT,RAMBUTAN,RIDGE GOURD(HYBRID),SAN-BANANA HILL,SAPOTA-KG-AHD,SIPPY CORN COB,SIPPY CORN KERNALS 300g,SNAKE GOURD LOOSE,SP DRY COPRA 200 GMS,SPROUT CHENNA WHITE PACK,SPROUT GREEN GRAM PACK,SPROUT PEANUT 200GM,SPROUTS- NAVA RATHENA,SPROUTS - CORN,SPROUTS - MIXED,SUN MELON,SWEET CORN COMBI PACK,SWEET CORN STEAMED CHAT MASALA KERNEL PK,SWEET CORN STEAMEDPERI MASALA KERNEL PK,TOMATO,TOMATO HYBRID,TOMATO HYBRID PREMIUM-KG,WATERMELON KIRAN,WATERMELON VAR WT,WET DATES KIMIA PACK,WET DATES KRAFT 200g,WOOD APPLE PC,YAM SLICE VWT
7/11/2014,0,0,0,4,0,2.8,0,0,0,8,0,1.11,0.29,0,0,0,1,0,3.44,0.71,0.39,2,4.14,0.94,0,1.25,9,5,0,1.02,1.84,0,2,0,0,0,0,3,0,0,0,3,2.23,0,0,0,0,0,0.8,2.25,2.29,0.59,0,0.6,9,0,4,3,0,0,0,0,6,0,0,0,0,1,0,11,0,0.5,0,2,0,0,5,0,1,4,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,7,18,0,0,0,35.07,1.56,0,0.67,0,14.07,5,8,0.36,7,2.28,1.87,0,13.58,0,0,13,0,0,2,1,0,4.59,0,7,1.02,0,0,0,0,0,0,0,2.68,0,5.23,0,0,0,3,1,0,0,1.91,0.33,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,10.24,15.78,0,0,0,0,0,0,0
7/12/2014,0,0,3,5,0,2.23,0,0,0,6,0,1.25,0,0,0,4,0,0,3.02,1.98,4.79,3,0.79,1.03,0,3.52,4,5,0,1.66,0,0,2.87,0,0,0,0,7,0,0,0,5,2.99,0,0,0,0,0,0.62,0,1.32,1.45,0,0,10,0,2,2,0,0,0,0,14,0,0,0,0.26,2,2,10,0,3.58,0,2,0,0,2,0,0,2,1,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,4,10,13,3,0,0,12.24,10.8,0,1.41,0,10.75,8,9,1.5,0,1.09,1.36,0,10.4,0,0,10,0,2,3,0,0,10.07,0,6,1.01,0,0,0,0,1,0,0,3.17,0,7.45,1,0,0,2,0.73,0,0,2.37,0.32,0,0,0,0.28,1,2,2,0,0,0,1,0,0,3,1,9.94,14.16,0,0,0,3,0,0,0
7/13/2014,0,2,0,3,0,3.5,0,0,0,0,0,1.61,0,0,0,1,2,0,3.77,1.67,2.73,3,0.41,0.42,0,1.63,9,2,0,0.23,0.22,0,0.7,0,0,0,0,1,0,0,0,4,0.72,0,0,0,1.82,0,0.35,1.55,1.31,0.94,0,0,9,0,5,0,0,0,0,0,6,0,0,0,0.42,0,2,15,0,3.82,0,0,0,0,3,0,0,0,1,0,1,0,0,1,6,0,0.03,0,0,0,3,0,0,0,0,0,0,0,0.51,0,0,20,0,6,16,1,0,0,0,0.88,16.32,1.94,0,3.22,4,8,0.41,0,0,1.56,0,24.49,0,0,20,0,3,0,1,0,0,0,3,0.69,0,0,0,0,5,0,0,0.76,0,10.6,0,0,0,2,0,0,0,2.63,0,0,0,0,1.01,0,2,1,0,0,0,1,0,0,2,1,12.15,21.01,0,0,0,5,0,0,0
7/14/2014,0,0,0,3,0,0.14,0,0,0,0,0,1.09,1.44,0,0,2,1,0,0.83,2.6,2.9,4,2.77,0,0,0.54,7,3,0,0,1.38,0,0.46,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1.27,0.84,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,2,11,0,2.16,0,0,0,0,2,0,1,0,1,0,2,0,0,0,4,1,0,0,0,0,4,1,0,0,0,0,0,3,0.23,0,0,12,0,8,9,0,0,0,0,0,40.73,0.47,0,3.21,8,7,0,0,1.03,1.19,0,7.11,0,0,6,0,2,0,0,0,0,0,4,1.79,0,0,0,0,0,0,0,0.52,0,9.66,0,0,0,0,0,0,0,0.92,0,0,0,0,2.13,0,0,2,0,0,0,0,0,0,0,0,7.31,9.54,7,0,0,0,0,0,0
7/15/2014,0,0,0,2,0,0.74,0,0,0,0,0,0.87,0.2,0,0,1,2,0,4.48,1,2.79,7,1.05,0.49,0,0,11,1,0,0.99,0.45,0,0.36,2,0,0,0,2,0,0,0,2,1.9,0,0,0,0,0,0,0.99,0.8,0.36,0,0,14,0,3,0,0,0,0,0,16,0,0,0,0.71,0,0,11,0,2.33,0,5,0,0,2,0,3,4,0,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,12,0,4,16,1,0,0,0,0,24.7,1.84,0.42,11.98,10,8,1.56,1,0,1.41,1.19,8.44,0,0,11,0,0,3,0,0,1.51,0,5,2.09,0,0,0,0,1,0,0,7.69,0,15.36,0,0,0,1,1,0,0,1.16,0,0,0,0,0.29,1,1,4,0,0,0,2,0,0,1,0,12.45,10.87,5,0,0,0,1,0,0
7/16/2014,0,3,0,2,0,0.25,0,0,0,0,0,0.1,0.12,0,0,0,0,0,1.08,2.65,1.49,1,0,1.56,0,0,0,1,0,0,0,0,2.33,0,0,0,0,2,0,0,0,0,1.38,0,0,0,0,0,0,0,1.45,0.17,0,0,7,0,4,1,0,0,0,0,0,0,0.24,0,0,6,0,8,0,1.99,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,2,0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,13,0,0,0,0,0,18.87,1.01,0,4.79,6,2,0.28,1,0,0,0,12.99,0,0,5,0,1,2,1,0,0.86,0,6,0.51,0,0,0,0,0,0,0,1.73,0,8.49,0,0,0,3,0,0.25,0,0,0,0,0,0,0.71,0,0,2,0,0,0,2,0,0,0,2,4.23,8.21,4,0,0,2,0,0,0
7/17/2014,0,0,1,6,0,3.15,0,0,0,7,0,0.3,1.96,0,0,1,4,0,4.04,0.48,1.2,3,1.31,1.24,0,1.44,3,0,0,1.12,0.2,0,0.72,0,0,0,0,0,0,0,0,3,2.37,0,0,0,0,0,0.38,0,1.02,1.56,0,0,9,0,3,0,0,0,0,0,0,0,0.2,0,0,12,2,8,0,2.43,0,0,0,0,1,0,0,1,0,0,3,0,0,0,4,0,0.1,0,0,0,7,0,0,0,0,0,0,0,0.63,0,0,16,1,6,2,0,0,0,0,0,27.04,1.46,0,6.83,3,2,2.26,5,0,0,2.72,5.45,0,0,3,0,3,1,0,0,0.19,0,3,0.86,0,0,0,0,0,0,0,2.1,0,6.39,0,2,0,6,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6.92,6.16,1,0,0,0,0,0,0
7/18/2014,0,2,0,2,0,7.74,0,0,0,1,0,0.15,2.33,0,0,1,3,0,0.74,3.32,3.29,2,2.24,0,0,0.55,6,1,0,0,0.8,0,1.88,0,0,0,0,0,0,0,0,3,2.78,0,0,0,0.8,2,0.91,0.9,2.12,0.4,0,0,15,0,5,1,0,0,0,0,0,0,1.01,0,0,15,1,12,0,3.13,0,3,0,0,0,0,1,2,3,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,2,11,12,0,0,0,0,0,32,0.33,0,6.32,8,1,4.55,4,0,0,0,10.98,0,0,11,0,0,1,0,0,1.37,0,6,1.21,0,0,0,0,0,0,0,0,0,11.71,0,2,0,11,0,0,0,0.27,0,0,0,0,0.24,0,1,2,0,0,0,3,0,0,3,1,6.54,15.16,0,0,0,0,0,0,0
7/19/2014,0,2,0,6,0,2.84,0,0,0,13,0,5.66,0.43,0,0,1,2,0,1.45,0,3.97,2,0.81,0,0,2.31,0,3,0,0.56,0.25,0,2.69,0,0,0,0,0,0,0,0,2,0.54,0,0,0,0.77,2,0,2.09,0.64,1.36,0,0,6,0,2,0,0,0,0,0,0,0,0.67,0,0,9,0,9,0,1.58,0,2,0,0,0,0,2,0,1,5,2,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,11,3,10,8,2,0,0,0,0,38.18,0.39,0,6.49,5,3,4.82,3,0,2.04,0,5.98,0,0,7,0,2,1,0,0,0.7,0,0,3.66,0,0,0,0,5,0,0,10.77,0,4.77,0,0,0,8,1.56,0.44,0,0.92,0,0,0,0,0.51,0,1,0,0,0,0,0,0,0,2,3,1.67,8.2,5,0,0,2,0,0,0
7/20/2014,0,4,0,3,0,1.94,0,0,0,13,0,3.68,0.99,0,0,1,1,0,5.79,0,1.06,6,1.9,2.95,0,2.18,3,3,0,0.86,0,0,2.46,0,0,0,0,4,0,0,0,8,1.34,0,0,0,0,0,1.55,0,1.59,1.19,0,0,9,0,5,0,2,0,0,0,7,0,0,0,0.96,6,0,14,0,5.06,0,2,0,0,6,0,4,1,0,3,2,1,0,0,8,0,0,0,0,0,8,0,0,0,0,1,0,0,0.79,0,0,21,0,2,6,2,0,0,0.41,0,38.49,0.36,0,9.71,9,8,3.76,3,0,0,0,8.97,0,0,18,0,0,2,0,0,0,0,0,1.66,0,0,0,0,3,0,0,5,0,6.73,0,0,0,3,2.65,0,0,1.29,0,0,0,0,0.81,0,3,5,0,1,0,4,0,0,1,3,12.54,9.9,1,0,0,1,0,0,0
