"DATE","TMAX","TMIN","Time"
20100514,233,151,2010-05-14
20100515,280,154,2010-05-15
20100516,249,156,2010-05-16
20100517,198,140,2010-05-17
20100518,241,135,2010-05-18
20100519,321,132,2010-05-19
20100520,348,154,2010-05-20
20100521,291,199,2010-05-21
20100522,296,180,2010-05-22
20100523,350,180,2010-05-23
20100524,298,187,2010-05-24
20100525,319,212,2010-05-25
20100526,310,216,2010-05-26
20100527,256,191,2010-05-27
20100528,258,172,2010-05-28
20100529,332,170,2010-05-29
20100530,296,192,2010-05-30
20100531,278,177,2010-05-31
20100601,268,174,2010-06-01
20100602,240,167,2010-06-02
20100603,276,163,2010-06-03
20100604,281,169,2010-06-04
20100605,292,175,2010-06-05
20100606,303,193,2010-06-06
20100607,308,208,2010-06-07
20100608,314,202,2010-06-08
20100609,306,210,2010-06-09
20100610,267,200,2010-06-10
20100611,246,181,2010-06-11
20100612,294,186,2010-06-12
20100613,302,216,2010-06-13
20100614,300,186,2010-06-14
20100615,336,212,2010-06-15
20100616,311,237,2010-06-16
20100617,246,185,2010-06-17
20100618,263,186,2010-06-18
20100619,311,184,2010-06-19
20100620,337,225,2010-06-20
20100621,306,204,2010-06-21
20100622,304,236,2010-06-22
20100623,302,196,2010-06-23
20100624,319,194,2010-06-24
20100625,316,209,2010-06-25
20100626,311,215,2010-06-26
20100627,316,222,2010-06-27
20100628,310,232,2010-06-28
20100629,310,229,2010-06-29
20100630,296,244,2010-06-30
20100701,276,231,2010-07-01
20100702,367,205,2010-07-02
20100703,378,245,2010-07-03
20100704,369,264,2010-07-04
20100705,406,250,2010-07-05
20100706,392,254,2010-07-06
20100707,343,245,2010-07-07
20100708,365,242,2010-07-08
20100709,319,222,2010-07-09
20100710,248,214,2010-07-10
20100711,265,219,2010-07-11
20100712,260,222,2010-07-12
20100713,264,225,2010-07-13
20100714,279,241,2010-07-14
20100715,265,244,2010-07-15
20100716,326,237,2010-07-16
20100717,330,249,2010-07-17
20100718,342,251,2010-07-18
20100719,308,227,2010-07-19
20100720,322,216,2010-07-20
20100721,333,231,2010-07-21
20100722,345,244,2010-07-22
20100723,355,261,2010-07-23
20100724,356,266,2010-07-24
20100725,357,265,2010-07-25
20100726,349,269,2010-07-26
20100727,349,271,2010-07-27
20100728,356,267,2010-07-28
20100729,358,278,2010-07-29
20100730,347,270,2010-07-30
20100731,337,292,2010-07-31
20100801,318,241,2010-08-01
20100802,332,244,2010-08-02
20100803,324,235,2010-08-03
20100804,295,232,2010-08-04
20100805,326,240,2010-08-05
20100806,311,217,2010-08-06
20100807,304,222,2010-08-07
20100808,307,211,2010-08-08
20100809,308,250,2010-08-09
20100810,330,255,2010-08-10
20100811,282,247,2010-08-11
20100812,321,226,2010-08-12
20100813,295,258,2010-08-13
20100814,358,242,2010-08-14
20100815,354,215,2010-08-15
20100816,351,231,2010-08-16
20100817,328,237,2010-08-17
20100818,297,252,2010-08-18
20100819,278,213,2010-08-19
20100820,312,239,2010-08-20
20100821,265,203,2010-08-21
20100822,291,190,2010-08-22
20100823,307,204,2010-08-23
20100824,289,217,2010-08-24
20100825,302,184,2010-08-25
20100826,314,206,2010-08-26
20100827,303,233,2010-08-27
20100828,316,200,2010-08-28
20100829,316,214,2010-08-29
20100830,323,222,2010-08-30
20100831,293,211,2010-08-31
20100901,278,203,2010-09-01
20100902,298,216,2010-09-02
20100903,266,202,2010-09-03
20100904,286,214,2010-09-04
20100905,296,213,2010-09-05
20100906,313,208,2010-09-06
20100907,277,237,2010-09-07
20100908,273,184,2010-09-08
20100909,266,188,2010-09-09
20100910,311,187,2010-09-10
20100911,326,193,2010-09-11
20100912,324,198,2010-09-12
20100913,324,204,2010-09-13
20100914,322,208,2010-09-14
20100915,296,221,2010-09-15
20100916,274,230,2010-09-16
20100917,230,142,2010-09-17
20100918,184,135,2010-09-18
20100919,239,156,2010-09-19
20100920,214,174,2010-09-20
20100921,179,131,2010-09-21
20100922,223,87,2010-09-22
20100923,258,94,2010-09-23
20100924,242,129,2010-09-24
20100925,218,121,2010-09-25
20100926,249,125,2010-09-26
20100927,227,116,2010-09-27
20100928,197,116,2010-09-28
20100929,207,82,2010-09-29
20100930,245,103,2010-09-30
20101001,235,134,2010-10-01
20101002,224,163,2010-10-02
20101003,237,157,2010-10-03
20101004,239,92,2010-10-04
20101005,264,106,2010-10-05
20101006,256,131,2010-10-06
20101007,237,138,2010-10-07
20101008,243,128,2010-10-08
20101009,227,122,2010-10-09
20101010,190,142,2010-10-10
20101011,204,131,2010-10-11
20101012,190,77,2010-10-12
20101013,225,87,2010-10-13
20101014,211,147,2010-10-14
20101015,207,97,2010-10-15
20101016,192,79,2010-10-16
20101017,131,79,2010-10-17
20101018,92,66,2010-10-18
20101019,115,65,2010-10-19
20101020,120,74,2010-10-20
20101021,130,102,2010-10-21
20101022,143,112,2010-10-22
20101023,158,123,2010-10-23
20101024,148,75,2010-10-24
20101025,140,40,2010-10-25
20101026,91,29,2010-10-26
20101027,113,-2,2010-10-27
20101028,178,4,2010-10-28
20101029,198,26,2010-10-29
20101030,202,34,2010-10-30
20101031,203,37,2010-10-31
20101101,158,54,2010-11-01
20101102,139,12,2010-11-02
20101103,195,16,2010-11-03
20101104,198,40,2010-11-04
20101105,203,37,2010-11-05
20101106,175,56,2010-11-06
