STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100118,32, , ,s,9999,-91, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100119,25, , ,s,9999,0, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100120,55, , ,s,9999,-24, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100121,-12, , ,s,9999,-84, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100122,-3, , ,s,9999,-61, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100123,46, , ,s,9999,-57, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100124,66, , ,s,9999,-77, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100125,17, , ,s,9999,-65, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100126,20, , ,s,9999,-91, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100127,88, , ,s,9999,-28, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100128,49, , ,s,9999,-18, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100129,69, , ,s,9999,-55, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100130,83, , ,s,9999,-24, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100131,68, , ,s,9999,-32, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100201,12, , ,s,9999,-42, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100202,8, , ,s,9999,-86, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100203,15, , ,s,9999,-90, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100204,23, , ,s,9999,-68, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100205,-2, , ,s,9999,-63, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100206,-16, , ,s,9999,-68, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100207,-15, , ,s,9999,-61, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100208,52, , ,s,9999,-48, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100209,45, , ,s,9999,-17, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100210,15, , ,s,9999,-31, , ,s,9999
