"Year","Month","Day","pm2.5","Time"
2010,5,21,113.875,2010-05-21
2010,5,22,148,2010-05-22
2010,5,23,123.208333333333,2010-05-23
2010,5,24,42.4583333333333,2010-05-24
2010,5,25,34.3333333333333,2010-05-25
2010,5,26,83.7083333333333,2010-05-26
2010,5,27,84.7894736842105,2010-05-27
2010,5,28,134.416666666667,2010-05-28
2010,5,29,137.583333333333,2010-05-29
2010,5,30,41.2916666666667,2010-05-30
2010,5,31,89.0833333333333,2010-05-31
2010,6,1,106.45,2010-06-01
2010,6,2,129.625,2010-06-02
2010,6,3,110.833333333333,2010-06-03
2010,6,4,80.0909090909091,2010-06-04
2010,6,7,131.307692307692,2010-06-07
2010,6,8,171.666666666667,2010-06-08
2010,6,9,47.25,2010-06-09
2010,6,10,51.7916666666667,2010-06-10
2010,6,11,87.375,2010-06-11
2010,6,12,106.5,2010-06-12
2010,6,13,117.791666666667,2010-06-13
2010,6,14,87.5833333333333,2010-06-14
2010,6,15,144.458333333333,2010-06-15
2010,6,16,90.9166666666667,2010-06-16
2010,6,17,37,2010-06-17
2010,6,18,68.2916666666667,2010-06-18
2010,6,19,100.125,2010-06-19
2010,6,20,74.5909090909091,2010-06-20
2010,6,21,76.8333333333333,2010-06-21
2010,6,22,128.777777777778,2010-06-22
2010,6,23,58.0666666666667,2010-06-23
2010,6,24,79.3333333333333,2010-06-24
2010,6,25,166.583333333333,2010-06-25
2010,6,26,169.333333333333,2010-06-26
2010,6,27,118.75,2010-06-27
2010,6,28,156.958333333333,2010-06-28
2010,6,29,188.208333333333,2010-06-29
2010,6,30,178.375,2010-06-30
2010,7,1,119.375,2010-07-01
2010,7,2,27.0416666666667,2010-07-02
2010,7,3,70.8333333333333,2010-07-03
2010,7,4,92.875,2010-07-04
2010,7,5,46.2916666666667,2010-07-05
2010,7,6,24.9583333333333,2010-07-06
2010,7,7,57.125,2010-07-07
2010,7,8,46.3333333333333,2010-07-08
2010,7,9,84.5833333333333,2010-07-09
2010,7,10,82.7916666666667,2010-07-10
2010,7,11,167.541666666667,2010-07-11
2010,7,12,122,2010-07-12
2010,7,13,103.458333333333,2010-07-13
2010,7,14,131.208333333333,2010-07-14
2010,7,15,197.791666666667,2010-07-15
2010,7,16,195.958333333333,2010-07-16
2010,7,17,120.708333333333,2010-07-17
2010,7,18,153.041666666667,2010-07-18
2010,7,19,164.333333333333,2010-07-19
2010,7,20,42.5,2010-07-20
2010,7,21,71.6666666666667,2010-07-21
2010,7,22,168.541666666667,2010-07-22
2010,7,23,169.166666666667,2010-07-23
2010,7,24,97.4583333333333,2010-07-24
2010,7,25,164.041666666667,2010-07-25
2010,7,26,211.583333333333,2010-07-26
2010,7,27,182.666666666667,2010-07-27
2010,7,28,177.041666666667,2010-07-28
2010,7,29,201.208333333333,2010-07-29
2010,7,30,212.375,2010-07-30
2010,7,31,119.708333333333,2010-07-31
2010,8,1,43.25,2010-08-01
2010,8,2,68.3333333333333,2010-08-02
2010,8,3,151.333333333333,2010-08-03
2010,8,4,113.708333333333,2010-08-04
2010,8,5,21,2010-08-05
2010,8,6,22,2010-08-06
2010,8,7,79.1666666666667,2010-08-07
2010,8,8,100.166666666667,2010-08-08
2010,8,9,242.958333333333,2010-08-09
2010,8,10,141.75,2010-08-10
2010,8,11,112.041666666667,2010-08-11
2010,8,12,93.0416666666667,2010-08-12
2010,8,13,131.842105263158,2010-08-13
2010,8,16,75.2222222222222,2010-08-16
2010,8,17,147,2010-08-17
